,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
2534,Roberto Soriano\9d4c45d6,it ITA,MFFW,Bologna,it Serie A,30,1991,29.1,35.4,43.2,82,545.2,184,19.6,22,89.1,12.2,14.7,83,2.44,3.88,62.8,0.14,0.14,-0.01,1.55,3.54,1.48,0.38,4.43,Matches
2535,Alberto Soro\452c3055,es ESP,MFFW,Granada,es La Liga,22,1999,6.4,20,28.4,70.3,316.9,92.7,10.6,13.3,80,7.34,10,73.4,1.41,3.13,45,0,0.09,-0.09,1.09,1.56,0.78,0,2.03,Matches
2536,Borna Sosa\af0d79a9,hr CRO,DF,Stuttgart,de Bundesliga,23,1998,27.8,47.2,64.2,73.4,863.6,373.4,22,25.3,87.1,18.5,24.1,76.7,6.08,12.7,47.9,0.29,0.21,0.08,2.19,3.45,2.09,1.04,6.26,Matches
2537,Hugo Sotelo\3aa74860,es ESP,MF,Celta Vigo,es La Liga,17,2003,0,2,2,100,64,30,0,0,,0,0,,2,2,100,0,0,0,0,0,0,0,0,Matches
2538,Florian Sotoca\7a42d0df,fr FRA,FWMF,Lens,fr Ligue 1,30,1990,27.6,32.9,43.3,76,617.4,130.3,15,19.1,78.6,11.8,14.9,79.4,5,6.88,72.6,0.14,0.11,0.04,1.09,3.3,1.01,0.36,4.02,Matches
2539,Riccardo Sottil\94816803,it ITA,FW,Fiorentina,it Serie A,22,1999,13.8,21.8,28,78,418.4,62.6,9.06,10.3,88,10.1,12.7,79.4,2.54,3.62,70,0.14,0.15,-0.01,1.01,0.58,1.3,0.43,1.88,Matches
2540,Tomáš Souček\6613c819,cz CZE,MF,West Ham,eng Premier League,26,1995,34,30.4,39.2,77.7,567.5,125.6,13.4,16.6,80.5,12.4,15.3,80.8,4.12,5.79,71.1,0.03,0.04,-0.01,0.47,2.74,0.41,0.09,2.94,Matches
2541,Matìas Soulé\c13ddd3e,ar ARG,FW,Juventus,it Serie A,18,2003,0.1,70,70,100,1390,220,20,20,100,40,40,100,10,10,100,0,0,0,0,30,0,0,10,Matches
2542,Sambou Soumano\7cc00776,sn SEN,FW,Lorient,fr Ligue 1,20,2001,5,12.4,18.6,66.7,195.4,35.2,7.2,9.2,78.3,3.2,4.6,69.6,1.4,2.6,53.8,0,0.02,-0.02,0.8,0.8,0.2,0.2,0.4,Matches
2543,Adama Soumaoro\7b075c75,fr FRA,DF,Bologna,it Serie A,29,1992,25.2,37.6,41.9,89.9,700.5,227.9,14.3,15.6,91.4,18.5,20,92.3,4.21,5,84.1,0,0,0,0.04,1.83,0.12,0.04,2.22,Matches
2544,Boubakary Soumaré\ae59b359,fr FRA,MF,Leicester City,eng Premier League,22,1999,12.2,36.8,45.2,81.5,641.1,152.9,16.2,19.6,82.8,16.1,18.4,87.9,3.52,5.74,61.4,0.08,0.03,0.05,0.41,2.54,0.49,0.08,3.2,Matches
2545,Arnaud Souquet\4e0afc5d,fr FRA,DF,Montpellier,fr Ligue 1,29,1992,25.9,33.9,46.5,72.8,533.1,238.3,18.5,21.2,87.3,12.4,16.1,77.2,2.01,5.75,34.9,0.12,0.05,0.07,0.69,1.81,0.73,0.15,3.24,Matches
2546,Djibril Sow\4c6facae,ch SUI,MF,Eint Frankfurt,de Bundesliga,24,1997,26.8,38.9,45.7,85.1,750.6,190.3,15.1,17.1,88.4,17.7,19.7,89.6,5.37,7.24,74.2,0.11,0.08,0.03,0.78,3.84,0.82,0.11,4.25,Matches
2547,Saidou Sow\f6b94e8d,gn GUI,DF,Saint-Étienne,fr Ligue 1,19,2002,11,43.6,52.2,83.6,903.4,288.4,14.5,16.1,89.8,21.4,24.3,88,7.09,10.5,67.8,0.09,0.05,0.04,0.36,3.27,0.09,0.09,3,Matches
2548,Çağlar Söyüncü\21166ff4,tr TUR,DF,Leicester City,eng Premier League,25,1996,27.7,56.7,65.8,86.2,1156.5,354.3,17.3,18.6,92.8,31.6,33.6,94.2,7.22,12.5,58,0,0,0,0.11,2.53,0.11,0.07,1.91,Matches
2549,Leonardo Spinazzola\3626daea,it ITA,DF,Roma,it Serie A,28,1993,1.4,45,52.1,86.3,902.1,260,21.4,22.1,96.8,15,17.9,84,8.57,10.7,80,0,0.07,-0.07,0.71,4.29,2.14,1.43,3.57,Matches
2550,Marco Sportiello\ac4003af,it ITA,GK,Atalanta,it Serie A,29,1992,5,20.2,26.4,76.5,547.6,291,2.2,2.2,100,11.4,11.8,96.6,6.2,11.8,52.5,0,0,0,0,0,0,0,0,Matches
2551,Tony Springett\35be8087,eng ENG,FWMF,Norwich City,eng Premier League,18,2002,1.6,16.3,23.8,68.4,263.1,53.1,9.38,12.5,75,5,5,100,1.25,3.75,33.3,0,0.25,-0.25,0.63,1.25,0.63,0,1.88,Matches
2552,Jerry St. Juste\90339309,nl NED,DF,Mainz 05,de Bundesliga,24,1996,6.7,33.4,43.1,77.5,712.7,261.2,9.55,12.1,79,16.1,18.2,88.5,6.87,11,62.2,0,0.01,-0.01,0.3,2.69,0.9,0.15,2.84,Matches
2553,Anton Stach\0f59a7bf,de GER,MF,Mainz 05,de Bundesliga,22,1998,20.7,34.1,46.6,73.2,617.8,200.1,16.4,20.2,81.1,12.4,16.2,76.7,4.49,7.83,57.4,0.29,0.16,0.13,1.3,3.29,0.87,0.19,4.11,Matches
2554,Kostas Stafylidis\861e0116,gr GRE,DFMF,Bochum,de Bundesliga,27,1993,15.4,32.9,45.1,72.8,729.2,274.7,10.3,11.9,86.4,15,18.9,79.4,7.27,13.1,55.7,0.06,0.06,0.01,0.78,2.14,0.78,0.45,3.31,Matches
2555,Luca Stanga\2967bcd0,it ITA,DF,Milan,it Serie A,19,2002,0,2,2,100,37,1,1,1,100,1,1,100,0,0,,0,0,0,0,0,0,0,0,Matches
2556,Josip Stanišić\7ed08d5c,hr CRO,DF,Bayern Munich,de Bundesliga,21,2000,7.2,71.9,82.8,86.9,1304.2,337.1,30.8,33.5,92.1,31,33.9,91.4,8.89,12.5,71.1,0,0.01,-0.01,0.28,3.47,0.56,0.14,5.42,Matches
2557,Niklas Stark\aad48be9,de GER,DFMF,Hertha BSC,de Bundesliga,26,1995,22.6,37.3,44.5,83.9,816,308.9,10.9,12.5,86.9,18.9,20.8,90.7,7.39,10.5,70.5,0,0.01,-0.01,0.13,1.42,0.13,0,2.35,Matches
2558,Jason Steele\28300a16,eng ENG,GK,Brighton,eng Premier League,30,1990,1,34,38,89.5,824,323,8,8,100,19,19,100,7,11,63.6,0,0,0,0,0,0,0,0,Matches
2559,Jed Steer\a8a3d139,eng ENG,GK,Aston Villa,eng Premier League,28,1992,1,27,36,75,759,560,2,2,100,16,16,100,9,18,50,0,0,0,0,0,0,0,0,Matches
2560,Renato Steffen\dd669209,ch SUI,FWMF,Wolfsburg,de Bundesliga,29,1991,10.7,30.9,40.2,77,554.3,170.1,15,17.2,87,11.6,15.3,75.6,3.83,5.98,64.1,0.09,0.11,-0.02,1.03,2.06,0.93,0.37,3.36,Matches
2561,Zack Steffen\42130443,us USA,GK,Manchester City,eng Premier League,26,1995,1,33,38,86.8,638,313,18,18,100,10,10,100,5,10,50,0,0,0,0,0,0,0,0,Matches
2562,Calvin Stengs\8f7e6783,nl NED,MF,Nice,fr Ligue 1,22,1998,11.9,25.8,35.5,72.7,456.1,167.6,13,16.1,81.2,8.32,11.3,73.3,3.87,6.39,60.5,0.08,0.2,-0.12,2.02,3.03,1.43,0.42,3.36,Matches
2563,Pascal Stenzel\99f7e9aa,de GER,DF,Stuttgart,de Bundesliga,25,1996,10,55.2,68.1,81.1,1304.7,468.8,15.6,17.1,91.2,25.1,28.4,88.4,13.9,20.5,67.8,0,0.02,-0.02,0.7,4.5,0.9,0.3,5.3,Matches
2564,Dale Stephens\653ee42d,eng ENG,MF,Burnley,eng Premier League,32,1989,1.4,31.4,40.7,77.2,596.4,152.9,11.4,16.4,69.6,15,17.9,84,4.29,5,85.7,0,0,0,0.71,1.43,0.71,0,2.14,Matches
2565,Jack Stephens\6adbc307,eng ENG,DF,Southampton,eng Premier League,27,1994,9,38.7,49.4,78.2,799.9,258.2,13.1,14.1,92.9,18.7,22.3,83.6,6.11,11.3,53.9,0,0.03,-0.03,0.44,2.33,0.11,0,2.67,Matches
2566,Raheem Sterling\b400bde0,eng ENG,FW,Manchester City,eng Premier League,26,1994,23.6,30.6,37.1,82.4,431.7,90,19.3,21.5,89.8,9.41,11.1,84.7,1.1,1.99,55.3,0.21,0.19,0.02,1.74,0.68,2.33,0.34,3.18,Matches
2567,Finley Stevens\7e003182,wls WAL,DF,Brentford,eng Premier League,18,2003,0.2,25,40,62.5,470,255,10,15,66.7,15,20,75,0,5,0,0,0,0,5,0,5,0,10,Matches
2568,Angelo Stiller\3b1ed320,de GER,MF,Hoffenheim,de Bundesliga,20,2001,18.8,42.3,51.2,82.7,741.7,199.4,19.6,22.8,86,17.8,20,89.1,4.15,6.28,66.1,0.05,0.06,-0.01,0.64,3.83,1.01,0.11,4.79,Matches
2569,Lars Stindl\7cd6badb,de GER,MFFW,M'Gladbach,de Bundesliga,32,1988,18.1,37.1,45.1,82.4,611.9,129.4,19.7,22.2,88.8,12.4,14.8,84,3.81,5.64,67.6,0.28,0.19,0.09,1.49,3.04,1.38,0.17,3.26,Matches
2570,Riccardo Stivanello\90e1d9dc,it ITA,DF,Bologna,it Serie A,17,2004,0.5,18,20,90,370,284,6,6,100,8,10,80,4,4,100,0,0,0,0,0,0,0,0,Matches
2571,Kevin Stöger\e5649a78,at AUT,MFFW,Mainz 05,de Bundesliga,27,1993,4.7,50.9,70,72.6,890.2,343,26.2,31.5,83.1,17.2,23.6,73,6.38,12.1,52.6,0.21,0.32,-0.11,2.98,6.38,2.34,1.06,9.15,Matches
2572,Petar Stojanović\13b44b02,si SVN,DF,Empoli,it Serie A,25,1995,30.4,44.1,56.2,78.5,802.1,356,20.1,22.3,90.4,19,23.2,82.1,4.7,8.55,55,0.03,0.11,-0.08,1.15,2.96,2.14,0.56,5.36,Matches
2573,John Stones\5eecec3d,eng ENG,DF,Manchester City,eng Premier League,27,1994,12.4,73,78.7,92.7,1506.9,367.9,25.3,27.3,92.6,35.4,36.5,96.9,11.8,13.9,84.9,0,0.01,-0.01,0.24,6.05,0.16,0,3.47,Matches
2574,Thomas Strakosha\339fe0e8,al ALB,GK,Lazio,it Serie A,26,1995,23,26.2,31.8,82.5,668.4,392.5,7.35,7.39,99.4,8.91,9.17,97.2,9.17,14.4,63.7,0,0,0,0.04,0.17,0.04,0,0.04,Matches
2575,Stefan Strandberg\6d5e62b0,no NOR,DF,Salernitana,it Serie A,31,1990,10.4,41.5,49.1,84.5,989.3,455.5,10.6,11.9,88.7,19.7,22.3,88.4,11,13.9,78.6,0,0.03,-0.03,0.29,3.27,0.29,0.1,3.85,Matches
2576,Dávid Strelec\2cb9486d,sk SVK,FWMF,Spezia,it Serie A,20,2001,5.6,18.6,24.6,75.4,290.7,72,10.2,13,78.1,5.54,7.32,75.6,1.79,2.5,71.4,0,0.14,-0.14,1.07,0.89,1.07,0.18,1.96,Matches
2577,Tobias Strobl\17780d2b,de GER,MFDF,Augsburg,de Bundesliga,31,1990,3.6,18.9,26.1,72.3,375,126.1,6.11,7.78,78.6,9.17,10.3,89.2,3.06,6.11,50,0,0,0,0.28,1.94,0.28,0,2.78,Matches
2578,Kevin Strootman\ef2e5e1a,nl NED,MF,Cagliari,it Serie A,31,1990,7.1,41.3,50.4,81.8,813.7,215.4,15.8,18.6,84.8,17.9,19.4,92,6.76,10.3,65.8,0,0.03,-0.03,0.42,3.94,0.14,0.14,3.94,Matches
2579,Pascal Struijk\f4d296e4,nl NED,DF,Leeds United,eng Premier League,21,1999,22.8,46.4,53.2,87.3,972.4,269.3,14.3,15.6,91.3,24.7,26.5,93.2,7.11,9.96,71.4,0,0.01,-0.01,0.26,2.63,0.09,0,3.16,Matches
2580,Jens Stryger Larsen\f91e81c9,dk DEN,DF,Udinese,it Serie A,30,1991,7.6,28.8,38.3,75.3,476.3,194.6,14.9,16.6,89.7,10.5,13.9,75.5,2.5,6.32,39.6,0.13,0.12,0.01,1.45,1.32,0.66,0.26,1.45,Matches
2581,Leo Štulac\92948398,si SVN,MF,Empoli,it Serie A,26,1994,9.3,41.3,52.6,78.5,840.5,271,14.1,15.5,91,20.2,23,87.9,6.13,11.9,51.4,0.22,0.05,0.16,1.08,3.66,0.65,0.11,3.87,Matches
2582,Stefano Sturaro\2334478a,it ITA,MF,Genoa,it Serie A,28,1993,19.6,19.3,30.3,63.8,325.1,117.8,9.54,12.7,75.4,6.68,10.1,66.5,2.24,4.69,47.8,0,0.03,-0.03,0.36,1.22,0.66,0.26,2.55,Matches
2583,Damián Suárez\ba5004e1,uy URU,DF,Getafe,es La Liga,33,1988,30.1,33.6,48.7,68.9,674.8,339.1,14.2,16.4,86.6,14.1,18.7,75.3,4.85,11.5,42.2,0.1,0.1,0,1.5,3.32,1.36,0.8,4.49,Matches
2584,Denis Suárez\12c50af5,es ESP,MF,Celta Vigo,es La Liga,27,1994,31.3,52.1,65.2,79.9,913,242.7,25,28,89.2,20.2,23.9,84.5,5.62,10.3,54.8,0.19,0.15,0.04,1.47,5.34,0.99,0.22,4.63,Matches
2585,Luis Suárez\a6154613,uy URU,FW,Atlético Madrid,es La Liga,34,1987,20.4,17.8,24.4,73,291.3,45.9,9.75,12.7,76.5,5.69,7.3,77.9,1.96,2.65,74.1,0.1,0.08,0.01,0.74,1.03,0.69,0.15,1.42,Matches
2586,Mario Suárez\7106f0a0,es ESP,DF,Rayo Vallecano,es La Liga,34,1987,7.9,31.9,39.5,80.8,748.2,265.2,7.59,8.48,89.6,16.5,18.6,88.4,7.72,12.2,63.5,0,0,0,0.13,1.9,0,0,2.53,Matches
2587,Isaac Success\f573a8bf,ng NGA,FW,Udinese,it Serie A,25,1996,10.1,17.9,28.3,63.3,308.1,77.7,8.81,13.4,65.9,6.04,8.51,70.9,2.18,3.96,55,0.59,0.3,0.3,1.68,1.78,0.59,0.1,1.88,Matches
2588,Niklas Süle\e33c06cf,de GER,DF,Bayern Munich,de Bundesliga,25,1995,20.4,77.1,85,90.6,1616.9,560,24,25.4,94.4,39.3,42,93.6,12.8,15.7,81.9,0.1,0.05,0.05,0.39,5.98,0.44,0.05,6.23,Matches
2589,Kamaldeen Sulemana\a62f8bf1,gh GHA,MFFW,Rennes,fr Ligue 1,19,2002,11.3,25.4,31.8,79.9,496.5,115.9,11.4,13.3,86,9.38,10.9,86.2,4.07,5.75,70.8,0.18,0.12,0.05,1.86,1.24,1.86,0.62,3.1,Matches
2590,Crysencio Summerville\df04eb4b,nl NED,MFFW,Leeds United,eng Premier League,19,2001,1.4,35.7,49.3,72.5,536.4,135.7,18.6,22.1,83.9,12.9,17.9,72,2.14,4.29,50,0,0.07,-0.07,1.43,2.86,2.86,0,5,Matches
2591,Vladyslav Supriaha\73affbb6,ua UKR,FW,Sampdoria,it Serie A,21,2000,0.2,15,20,75,185,15,15,15,100,0,5,0,0,0,,0,0,0,0,0,0,0,0,Matches
2592,Suso\4e219ad2,es ESP,FW,Sevilla,es La Liga,27,1993,4.3,33,43.3,76.3,553,133.5,18.4,20.2,90.8,11.9,15.8,75,2.79,5.81,48,0.23,0.09,0.14,0.7,1.63,2.09,0.47,3.02,Matches
2593,Bosko Sutalo\1d0bb7e4,hr CRO,DF,Hellas Verona,it Serie A,21,2000,10.2,37.5,47.7,78.6,701.6,223.9,16.7,19.8,84.2,13.7,16.7,82.4,6.18,9.51,64.9,0,0.01,-0.01,0.2,2.06,0.39,0.29,2.94,Matches
2594,Mattias Svanberg\92d83c27,se SWE,MF,Bologna,it Serie A,22,1999,28.5,27.6,37.3,74,485.4,147.9,14.2,16,88.6,8.88,11.7,75.7,3.65,7.3,50,0.11,0.12,-0.01,1.23,2.56,0.98,0.25,2.95,Matches
2595,Michael Svoboda\8abd174d,at AUT,DF,Venezia,it Serie A,22,1998,13.7,37.7,44.7,84.2,853.9,316,10.6,11.5,92.4,18.9,20.7,91.5,7.96,11.5,69.4,0,0.01,-0.01,0.07,2.26,0.15,0.07,2.99,Matches
2596,Abdoulaye Sylla\2aeb43f1,gn GUI,DF,Nantes,fr Ligue 1,21,2000,1.7,30.6,44.7,68.4,725.9,219.4,4.71,5.29,88.9,18.8,24.1,78,7.06,14.7,48,0,0,0,0,1.18,0,0,0.59,Matches
2597,Mamadou Sylla\e5ec95f8,sn SEN,FW,Alavés,es La Liga,27,1994,4.4,8.86,15.7,56.5,165.2,35,4.55,7.5,60.6,3.41,5.45,62.5,0.91,2.05,44.4,0,0.02,-0.02,0.68,0.91,0.45,0.23,0.91,Matches
2598,Mamadou Sylla\e5ec95f8,sn SEN,FWMF,Rayo Vallecano,es La Liga,27,1994,2.8,17.5,24.3,72.1,280.7,67.1,8.57,11.1,77.4,6.79,9.29,73.1,1.43,2.86,50,0,0.18,-0.18,0.71,1.43,0.36,0,2.5,Matches
2599,Ádám Szalai\53e07d0b,hu HUN,FW,Mainz 05,de Bundesliga,33,1987,2.9,17.2,27.2,63.3,207.6,44.1,9.66,13.1,73.7,3.79,7.59,50,0.34,2.07,16.7,0,0.17,-0.17,1.38,0.69,0,0,1.72,Matches
2600,Wojciech Szczęsny\01b8a2b2,pl POL,GK,Juventus,it Serie A,31,1990,33,25.1,30.8,81.5,720.4,382.5,3.58,3.61,99.2,11.9,12,99.2,9.48,15,63.2,0,0,0,0.09,0.06,0,0,0,Matches
2601,Dominik Szoboszlai\934e1968,hu HUN,MFFW,RB Leipzig,de Bundesliga,20,2000,17.1,44.4,57.6,77.2,748.2,214.4,22.9,27.3,84.1,14.3,17.8,80.6,5.38,9.06,59.4,0.47,0.3,0.17,2.46,2.81,2.16,0.7,4.09,Matches
2602,Jakob Sørensen\953c30b0,dk DEN,MFDF,Norwich City,eng Premier League,23,1998,6.7,36.9,44.8,82.3,760,213.7,12.8,14.6,87.8,17.5,19,92.1,5.97,9.85,60.6,0,0,0,0,2.39,0,0,1.79,Matches
2603,Alexander Sørloth\e92cd3f7,no NOR,FW,Real Sociedad,es La Liga,25,1995,19.6,17.2,23.7,72.8,250.2,36.7,10.3,13.1,78.9,5.2,7.19,72.3,1.02,1.63,62.5,0,0.13,-0.13,1.02,0.97,0.71,0.1,1.43,Matches
2604,Tachi\8b625720,es ESP,DF,Alavés,es La Liga,23,1997,2.7,20.4,31.5,64.7,594.8,313,3.7,5.93,62.5,10.4,13.3,77.8,6.3,12.2,51.5,0,0.04,-0.04,0.37,3.7,0.37,0.37,1.85,Matches
2605,Jonathan Tah\bd142efb,de GER,DF,Leverkusen,de Bundesliga,25,1996,32,52.9,58.9,89.9,1143.6,330.2,13.3,14.3,92.4,30.5,32.5,93.8,8.81,11.3,78.1,0.06,0.03,0.03,0.25,2.63,0.13,0.03,3.03,Matches
2606,Waniss Taibi\95192fe4,fr FRA,MFDF,Angers,fr Ligue 1,19,2002,1.5,38.7,47.3,81.7,589.3,102,23.3,28,83.3,12.7,14.7,86.4,2.67,4,66.7,0,0,0,0,1.33,0,0,0.67,Matches
2607,Flavien Tait\a0f9b535,fr FRA,MF,Rennes,fr Ligue 1,28,1993,23.6,46.7,53.6,87.2,894.4,192.8,19.9,22.5,88.2,18.4,20.5,89.9,7.58,8.77,86.5,0.13,0.15,-0.02,1.27,5.51,1.4,0.17,5.47,Matches
2608,Adrien Tameze\8da74c05,cm CMR,MFDF,Hellas Verona,it Serie A,27,1994,28.6,36.3,45.4,79.9,651.6,201.4,17,19.8,86,14.3,17.1,83.6,4.23,6.5,65.1,0.07,0.06,0.01,0.94,3.22,0.73,0.14,4.41,Matches
2609,Japhet Tanganga\e9971f2d,eng ENG,DF,Tottenham,eng Premier League,22,1999,8.2,39.9,48.3,82.6,718.2,213.4,18,20.4,88.6,17.6,20.7,84.7,3.66,6.22,58.8,0,0.05,-0.05,0.24,1.1,0.61,0.12,2.2,Matches
2610,Renato Tapia\34269bdf,pe PER,MF,Celta Vigo,es La Liga,26,1995,15.7,44.1,55,80.3,940.1,210.6,14.7,16.9,86.8,18.7,21.6,86.4,9.62,14.1,68.3,0,0.01,-0.01,0.25,3.25,0.57,0,3.31,Matches
2611,Edmond Tapsoba\a73c8f95,bf BFA,DF,Leverkusen,de Bundesliga,22,1999,20.2,62.4,70.5,88.5,1395.2,423.3,14,15.2,92.2,34.8,36.7,94.7,12.5,16.7,74.8,0,0,0,0.05,3.61,0.05,0,2.82,Matches
2612,Florian Tardieu\ed39121c,fr FRA,MF,Troyes,fr Ligue 1,29,1992,29.2,57.7,69.9,82.6,1186.8,357.2,22.5,24.7,91.4,24.2,27.3,88.7,9.97,16.1,61.8,0.07,0.11,-0.04,1.68,5.96,0.79,0.1,5.82,Matches
2613,Matt Targett\e514ab62,eng ENG,DF,Aston Villa,eng Premier League,25,1995,15.9,37.7,50.6,74.4,734.7,350.9,15.3,18.1,84.7,17.1,20.6,83.2,4.65,9.5,49,0.06,0.14,-0.08,1.38,4.21,1.45,0.5,5.91,Matches
2614,Matt Targett\e514ab62,eng ENG,DF,Newcastle Utd,eng Premier League,25,1995,16,35.5,48.6,73.1,645.1,321.4,15.7,17.9,87.5,15.4,19.6,78.9,3.56,9.13,39,0,0.1,-0.1,1.25,2.94,0.88,0.25,3.25,Matches
2615,Oussama Targhalline\abd56820,ma MAR,FW,Marseille,fr Ligue 1,19,2002,0.1,70,70,100,890,120,50,50,100,20,20,100,0,0,,0,0,0,0,0,0,0,0,Matches
2616,James Tarkowski\15ea812b,eng ENG,DF,Burnley,eng Premier League,28,1992,34.5,23.2,32.5,71.6,586.4,231,5.71,7.48,76.4,10.6,13.7,77.5,6.7,10.8,62.3,0.06,0.02,0.04,0.26,2.38,0.38,0,2.67,Matches
2617,Ciprian Tătărușanu\b056e3da,ro ROU,GK,Milan,it Serie A,35,1986,6,27,34.3,78.6,832.5,523,4,4,100,12.5,12.5,100,10.5,17.8,58.9,0,0,0,0,0,0,0,0,Matches
2618,Niklas Tauer\27270af4,de GER,DFMF,Mainz 05,de Bundesliga,20,2001,5.4,27.6,36.7,75.3,510.9,158.5,12.8,15.4,83.1,10.6,13.7,77,3.89,5.93,65.6,0,0,0,0,1.3,0.19,0,1.85,Matches
2619,Nuno Tavares\a65c844b,pt POR,DF,Arsenal,eng Premier League,21,2000,13.1,44.6,54.5,81.8,748.8,217.3,23.1,25.3,91.3,17.6,20.7,85.2,3.44,6.11,56.3,0.08,0.08,0,0.69,1.98,0.76,0.46,2.14,Matches
2620,Charlie Taylor\cc2d7ad5,eng ENG,DF,Burnley,eng Premier League,27,1993,30.3,32.2,45,71.6,609,259.5,15.1,17.1,88.4,11.9,15.1,78.6,4.62,10.6,43.6,0.1,0.12,-0.02,0.66,2.11,0.86,0.63,2.61,Matches
2621,Loum Tchaouna\a3c8b4d3,fr FRA,FWMF,Rennes,fr Ligue 1,17,2003,1,26,40,65,447,94,13,18,72.2,9,15,60,3,5,60,0,0.2,-0.2,2,1,1,1,0,Matches
2622,Warren Tchimbembé\93b8f9f4,cg CGO,MF,Metz,fr Ligue 1,23,1998,2.3,36.5,41.7,87.5,724.8,164.8,13.9,15.2,91.4,16.5,17.4,95,5.65,8.7,65,0,0.04,-0.04,0.87,3.91,0.87,0.43,2.61,Matches
2623,Aurélien Tchouaméni\4f255115,fr FRA,MF,Monaco,fr Ligue 1,21,2000,32.5,55.3,63.9,86.5,1099.3,279.3,20.8,23.1,90,25.3,28.3,89.5,8.58,11,78.4,0.06,0.09,-0.02,0.68,5.2,1.05,0.18,5.82,Matches
2624,Mathys Tel\829aa60c,fr FRA,FWMF,Rennes,fr Ligue 1,16,2005,0.6,28.3,46.7,60.7,558.3,151.7,15,20,75,6.67,13.3,50,6.67,10,66.7,0,0.17,-0.17,1.67,1.67,0,0,1.67,Matches
2625,Jordan Tell\4f093689,fr FRA,FW,Clermont Foot,fr Ligue 1,24,1997,3.2,21.9,26.6,82.4,326.6,50.6,13.1,13.8,95.5,6.56,8.44,77.8,1.56,1.88,83.3,0.31,0.31,0,0.94,0.94,0.31,0,0.94,Matches
2626,Nathan Tella\f1e94cd6,eng ENG,MFFW,Southampton,eng Premier League,22,1999,8.9,12.6,20.3,61.9,190.4,49.4,7.53,9.44,79.8,3.71,6.29,58.9,0.79,2.7,29.2,0.11,0.08,0.03,0.79,0.79,0.34,0.22,1.35,Matches
2627,Alex Telles\e73c9bb2,br BRA,DF,Manchester Utd,eng Premier League,28,1992,18.4,48.2,64,75.3,783.4,318.1,25.3,28.4,88.9,18.4,22.6,81.7,3.59,10.5,34.2,0.22,0.11,0.11,1.47,2.72,0.92,0.33,3.26,Matches
2628,Cristian Tello\72a99e38,es ESP,FWMF,Betis,es La Liga,29,1991,9.1,30.8,39.9,77.1,494.8,122.3,16.4,19.7,83.2,10.3,12.9,80.3,2.86,4.4,65,0.22,0.22,0,1.76,1.21,1.1,0.44,2.42,Matches
2629,Nahuel Tenaglia\66654daa,ar ARG,DF,Alavés,es La Liga,25,1996,11.9,26.1,39.9,65.5,508.6,263.8,10.3,12.9,79.9,12.1,16.1,75.4,3.36,9.08,37,0,0.03,-0.03,0.34,2.77,0.5,0.17,3.19,Matches
2630,Marc Tenas\1c5d79e2,es ESP,FWMF,Alavés,es La Liga,20,2001,0.6,26.7,40,66.7,375,93.3,18.3,23.3,78.6,8.33,10,83.3,0,3.33,0,0,0.5,-0.5,1.67,0,0,0,1.67,Matches
2631,Marc-André ter Stegen\6f51e382,de GER,GK,Barcelona,es La Liga,29,1992,35,31.8,36.6,86.9,851,484.2,5.71,5.77,99,16,16.3,98.2,9.83,14.3,68.9,0,0,0,0.03,0.26,0,0,0.06,Matches
2632,Filippo Terracciano\5cbb5ad6,it ITA,DF,Hellas Verona,it Serie A,18,2003,0.1,30,50,60,370,180,20,20,100,10,20,50,0,10,0,0,0,0,0,0,0,0,0,Matches
2633,Pietro Terracciano\e1b0a70d,it ITA,GK,Fiorentina,it Serie A,31,1990,31.8,38.3,47.9,80,1162.9,605.8,5.19,5.22,99.4,16.6,16.8,98.9,16.4,25.7,64,0,0,0,0.03,0.63,0.03,0,0.03,Matches
2634,Martin Terrier\5148dcc5,fr FRA,FWMF,Rennes,fr Ligue 1,24,1997,30.9,25.4,31.7,80.1,420.5,89.9,13.4,15.3,87.3,8.03,10.4,77.3,2.91,4.01,72.6,0.1,0.13,-0.03,1.26,1.65,1.36,0.32,2.91,Matches
2635,Aleksa Terzić\3ef0a2d7,rs SRB,DF,Fiorentina,it Serie A,21,1999,3,67,80.7,83.1,1274.3,444,28.7,31,92.5,29,32.7,88.8,9,15,60,0.33,0.13,0.2,1.67,2,2.67,2,4,Matches
2636,Robert Tesche\037130ca,de GER,MF,Bochum,de Bundesliga,34,1987,3.9,37.2,43.6,85.3,727.7,156.4,15.9,17.9,88.6,15.4,16.7,92.3,5.9,8.21,71.9,0,0,0,0,3.59,0.26,0,3.59,Matches
2637,Tanner Tessmann\ac277993,us USA,MF,Venezia,it Serie A,19,2001,7.6,21.8,29.2,74.8,449.9,128.7,8.95,10.8,82.9,8.68,10.5,82.5,3.82,6.58,58,0,0.03,-0.03,0.53,2.37,0.13,0,2.37,Matches
2638,Tetê\7120a04d,br BRA,FWMF,Lyon,fr Ligue 1,21,2000,6.5,28.9,36.5,79.3,523.2,140.8,11.1,12.6,87.8,13.2,15.4,86,3.23,5.38,60,0.77,0.31,0.46,2,2.15,2.31,0,4.77,Matches
