,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
20,Michel Aebischer\f9c927de,ch SUI,MF,Bologna,it Serie A,24,1997,4.9,3.06,1.63,1.22,1.43,0.41,1.02,2.04,50,1.02,26.1,5.51,21.1,9.18,13.5,3.47,1.02,0,0,1.02,1.02,4.08,0.61,0,Matches
21,Felix Afena-Gyan\0154d290,gh GHA,FWMF,Roma,it Serie A,18,2003,7.4,1.08,0.54,0.14,0.81,0.14,0.54,1.22,44.4,0.68,30,7.43,24.8,3.65,12.4,13.9,0.68,0,0,0.68,0.68,1.76,0,0,Matches
22,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,25,1996,18,2.33,1.28,1.22,0.67,0.44,1.22,2.39,51.2,1.17,12.8,3.22,25.1,5.39,5.78,1.67,1.83,0.17,0,1.67,1.33,3.67,2.44,0,Matches
23,Julen Agirrezabala\a2c1a8d3,es ESP,GK,Athletic Club,es La Liga,20,2000,4,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.25,0,Matches
24,Lucien Agoume\8bc8829a,fr FRA,MF,Brest,fr Ligue 1,19,2002,20.8,2.74,2.02,1.2,1.25,0.29,0.77,1.39,55.2,0.63,18.3,5.82,31.8,5.72,10,2.5,1.83,0.53,0,1.3,2.69,5.43,1.54,0,Matches
25,Kevin Agudelo\46fa7204,co COL,MFFW,Spezia,it Serie A,22,1998,13.7,2.99,1.97,1.02,1.46,0.51,0.58,1.39,42.1,0.8,29.2,6.42,22,5.84,15.5,7.88,1.97,0,0,1.97,1.31,4.31,0.29,0,Matches
26,Nayef Aguerd\288e1e13,ma MAR,DF,Rennes,fr Ligue 1,25,1996,30.4,0.99,0.39,0.56,0.43,0,0.23,0.59,38.9,0.36,6.25,2.17,34.7,3.36,2.76,0.13,0.99,0.43,0,0.56,1.78,2.76,5,0.07,Matches
27,Sergio Agüero\4d034881,ar ARG,FW,Barcelona,es La Liga,33,1988,1.7,0.59,0.59,0,0,0.59,0,0.59,0,0.59,10.6,2.35,22.2,0,4.71,5.88,0,0,0,0,0,0.59,0,0,Matches
28,Ruben Aguilar\3dd738a1,fr FRA,DF,Monaco,fr Ligue 1,28,1993,23.8,3.82,2.14,2.02,1.39,0.42,1.89,3.07,61.6,1.18,17.5,5.76,32.9,7.94,7.14,2.44,1.64,0.29,0,1.34,2.48,6.3,2.94,0.04,Matches
29,Álvaro Aguirre\93b054dc,es ESP,FW,Rayo Vallecano,es La Liga,21,2000,0.1,10,10,0,0,10,0,0,,0,30,10,33.3,0,0,30,0,0,0,0,0,10,0,0,Matches
30,Naouirou Ahamada\a6c58494,fr FRA,MF,Stuttgart,de Bundesliga,19,2002,0.7,0,0,0,0,0,0,1.43,0,1.43,24.3,8.57,35.3,5.71,14.3,4.29,2.86,0,0,2.86,0,0,2.86,0,Matches
31,Anel Ahmedhodzic\eab957a3,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15,2.33,1.47,1.8,0.47,0.07,0.87,1.8,48.1,0.93,9.93,3.33,33.6,5.8,3.13,1,1.27,0.53,0,0.73,2.27,4.6,3.07,0,Matches
32,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Strasbourg,fr Ligue 1,27,1994,11.2,1.79,0.89,0.45,0.98,0.36,0.71,1.25,57.1,0.54,17.8,3.84,21.6,4.55,9.91,3.3,0.71,0.09,0,0.63,2.05,3.84,0.98,0,Matches
33,Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,es La Liga,25,1995,29.3,1.98,1.4,1.57,0.27,0.14,0.75,1.13,66.7,0.38,10.9,4.23,38.9,7.06,3.38,0.44,1.67,0.58,0,1.09,1.88,3.86,4.44,0.07,Matches
34,Ola Aina\246d153b,ng NGA,DF,Torino,it Serie A,24,1996,16,2,0.94,0.94,0.81,0.25,1.06,1.56,68,0.5,10.5,3.38,32.1,3.63,4.38,2.5,1.56,0.19,0,1.38,2.06,4.06,2.06,0,Matches
35,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,eng Premier League,20,2001,20.3,3.74,2.12,2.66,0.69,0.39,1.38,2.22,62.2,0.84,19.8,6.65,33.6,11.4,5.71,2.71,1.67,0.15,0,1.53,1.87,5.62,1.58,0.05,Matches
36,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,eng Premier League,23,1998,22.2,1.8,0.99,1.13,0.54,0.14,0.9,1.62,55.6,0.72,9.28,3.29,35.4,4.82,3.15,1.31,1.62,0.59,0.05,1.04,2.21,4.01,3.65,0.05,Matches
37,Ludovic Ajorque\462475ed,re REU,FW,Strasbourg,fr Ligue 1,27,1994,30.4,1.51,0.82,0.13,0.76,0.63,0.26,1.32,20,1.05,17.1,4.7,27.5,1.94,7.7,7.47,0.79,0.16,0,0.63,0.49,2.01,1.05,0.03,Matches
38,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,de Bundesliga,26,1995,25.1,1.99,1.43,1.16,0.64,0.2,0.88,1.43,61.1,0.56,9.8,4.5,45.9,5.58,3.67,0.56,1.51,0.72,0,0.8,1.87,3.86,2.91,0,Matches
39,Carlos Akapo\f2a68b97,gq EQG,DF,Cádiz,es La Liga,28,1993,20.5,2.59,1.66,1.66,0.68,0.24,0.59,1.51,38.7,0.93,14.2,5.07,35.7,8,4.63,1.56,1.71,0.39,0,1.32,3.17,5.76,2.59,0,Matches
40,Marley Aké\414e1f69,fr FRA,MFFW,Juventus,it Serie A,20,2001,0.9,0,0,0,0,0,0,1.11,0,1.11,33.3,2.22,6.7,11.1,15.6,6.67,0,0,0,0,2.22,2.22,0,0,Matches
41,Nathan Aké\eaeca114,nl NED,DF,Manchester City,eng Premier League,26,1995,10.3,1.46,0.49,0.58,0.78,0.1,0.39,0.68,57.1,0.29,6.8,2.23,32.9,2.52,3.59,0.68,1.17,0.49,0,0.68,1.75,3.2,3.01,0,Matches
42,Ilias Akhomach\b8bd60fe,es ESP,FW,Barcelona,es La Liga,17,2004,1.4,1.43,0,0,0.71,0.71,0,0,,0,5,0.71,14.3,0.71,0.71,3.57,0.71,0,0,0.71,0,1.43,0,0,Matches
43,Maghnes Akliouche\b625b241,fr FRA,MFFW,Monaco,fr Ligue 1,19,2002,0.6,3.33,1.67,1.67,1.67,0,0,1.67,0,1.67,35,11.7,33.3,6.67,16.7,11.7,3.33,0,0,3.33,0,3.33,0,0,Matches
44,Paul Akouokou\31f5b89b,ci CIV,MF,Betis,es La Liga,23,1997,5.7,2.98,2.11,0.88,1.58,0.53,1.58,2.28,69.2,0.7,19.8,6.67,33.6,5.96,11.8,2.11,1.23,0,0,1.23,2.11,5.09,1.58,0,Matches
45,Jean-Daniel Akpa-Akpro\fdf4b948,ci CIV,MF,Lazio,it Serie A,28,1992,3.5,4.57,2.57,1.71,2.57,0.29,0.86,2.86,30,2,30,8.29,27.6,6.86,16.3,6.86,1.14,0.57,0,0.57,0.86,5.43,1.14,0,Matches
46,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,de Bundesliga,26,1995,17,2.18,1.18,1,0.71,0.47,1.06,1.88,56.3,0.82,14.9,4.41,29.5,5.88,6,3.06,3.29,0.12,0,3.18,2.06,4.24,1.88,0.12,Matches
47,David Alaba\05439de2,at AUT,DF,Real Madrid,es La Liga,29,1992,29.4,0.85,0.61,0.44,0.34,0.07,0.31,0.54,56.3,0.24,7.59,2.82,37.2,3.4,3.4,0.78,1.26,0.58,0.03,0.68,1.39,2.24,2.28,0.07,Matches
48,Sofiane Alakouch\5314e067,ma MAR,DFMF,Metz,fr Ligue 1,23,1998,1.8,4.44,3.33,2.22,2.22,0,1.67,3.33,50,1.67,28.9,6.67,23.1,11.7,13.3,3.89,3.33,0,0,3.33,3.33,7.78,1.11,0,Matches
49,Tomás Alarcón\99ea2ddd,cl CHI,MF,Cádiz,es La Liga,22,1999,15.8,1.9,0.95,0.89,0.7,0.32,0.63,1.39,45.5,0.76,16.5,5.38,32.7,8.1,6.58,1.77,2.03,0.38,0,1.65,1.71,3.61,2.85,0,Matches
50,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,de Bundesliga,28,1992,7.3,0.68,0.55,0,0.55,0.14,0.27,0.41,66.7,0.14,14,4.11,29.4,0.82,5.48,7.67,0.96,0,0,0.96,0.41,1.1,0.82,0,Matches
51,Jordi Alba\4601e194,es ESP,DF,Barcelona,es La Liga,32,1989,29.4,1.5,0.85,0.41,0.88,0.2,0.75,1.56,47.8,0.82,10.8,3.37,31.1,3.5,5.24,2.07,1.9,0.24,0,1.67,1.63,3.13,1.29,0.07,Matches
52,Josué Albert\3d738df0,gf GUF,DF,Clermont Foot,fr Ligue 1,29,1992,0.2,0,0,0,0,0,0,0,,0,10,0,0,10,0,0,0,0,0,0,0,0,5,0,Matches
53,Luis Alberto\5294a83f,es ESP,MF,Lazio,it Serie A,28,1992,26.1,1.19,0.69,0.34,0.46,0.38,0.42,1.72,24.4,1.3,15.8,4.06,25.7,4.33,7.2,4.29,1.11,0.15,0,0.96,0.84,2.03,0.23,0,Matches
54,Raúl Albiol\4bd414c1,es ESP,DF,Villarreal,es La Liga,35,1985,27.4,0.99,0.55,0.62,0.36,0,0.33,0.51,64.3,0.18,6.13,2.48,40.5,3.25,2.66,0.22,1.39,0.58,0.04,0.8,1.35,2.34,5.22,0,Matches
55,Marc Albrighton\b827d5b3,eng ENG,FWDF,Leicester City,eng Premier League,31,1989,12.6,2.62,1.27,1.35,0.71,0.56,0.79,3.25,24.4,2.46,22.9,5,21.8,7.78,11.2,3.97,2.14,0.4,0.08,1.75,1.98,4.6,0.79,0,Matches
56,Paco Alcácer\a7a9d95a,es ESP,FW,Villarreal,es La Liga,27,1993,8.7,0.57,0.34,0.11,0.34,0.11,0.23,0.57,40,0.34,12.8,3.22,25.2,0.8,5.52,6.44,0.92,0,0,0.92,0.46,1.03,0.11,0,Matches
