,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
2296,Rodrygo\8f5e92a6,br BRA,FW,Real Madrid,es La Liga,20,2001,16.2,1.23,0.93,0.56,0.31,0.37,0.19,1.05,17.6,0.86,18.1,4.32,23.9,4.2,7.47,6.42,1.54,0,0,1.54,1.11,2.35,0.31,0,Matches
2297,Mads Roerslev\57c94db2,dk DEN,DF,Brentford,eng Premier League,22,1999,13.8,1.88,0.65,1.67,0.07,0.14,1.16,2.54,45.7,1.38,12.5,3.12,24.9,8.26,2.9,1.38,2.25,0.43,0,1.81,1.52,3.41,2.17,0,Matches
2298,Marko Rog\b6b2b820,hr CRO,MF,Cagliari,it Serie A,26,1995,3.5,1.43,0.29,0.29,0.57,0.57,0.29,1.71,16.7,1.43,18.6,5.71,30.8,5.14,8,5.43,0.57,0.29,0,0.29,0.57,2,1.14,0,Matches
2299,Rogério\10e7f486,br BRA,DF,Sassuolo,it Serie A,23,1998,19.2,1.09,0.68,0.57,0.31,0.21,0.36,0.89,41.2,0.52,9.11,3.23,35.4,4.69,3.18,1.25,1.67,0.42,0.05,1.25,1.77,2.86,2.03,0.1,Matches
2300,Alessio Romagnoli\3ead85f9,it ITA,DF,Milan,it Serie A,26,1995,15.7,1.59,0.89,0.89,0.7,0,0.64,0.96,66.7,0.32,9.36,3.25,34.7,4.08,4.71,0.57,1.66,0.7,0.06,0.96,1.78,3.38,3.18,0,Matches
2301,Simone Romagnoli\09899de8,it ITA,DF,Empoli,it Serie A,31,1990,16.6,1.57,0.84,0.96,0.48,0.12,0.48,0.72,66.7,0.24,10.7,3.43,32.2,6.08,3.8,0.78,2.47,1.69,0,0.78,1.33,2.89,5.72,0,Matches
2302,Leonardo Román\924ff27e,es ESP,GK,Mallorca,es La Liga,21,2000,2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
2303,Cristian Romero\a3d94a58,ar ARG,DF,Tottenham,eng Premier League,23,1998,20.5,3.66,2.2,2.1,1.46,0.1,1.22,2.1,58.1,0.88,15.5,5.51,35.6,9.51,4.78,1.17,2.44,1.12,0,1.32,2.78,6.44,3.8,0.05,Matches
2304,Iván Romero\2fbe6af0,es ESP,FW,Sevilla,es La Liga,20,2001,2,0.5,0.5,0,0.5,0,0,0,,0,26.5,7.5,28.3,1,9.5,16,1,0,0,1,1.5,2,0,0,Matches
2305,Luka Romero\ca6edaa0,ar ARG,FW,Lazio,it Serie A,16,2004,0.9,3.33,2.22,0,2.22,1.11,1.11,4.44,25,3.33,32.2,7.78,24.1,7.78,17.8,6.67,1.11,0,0,1.11,2.22,5.56,0,0,Matches
2306,Sergio Romero\1e26e376,ar ARG,GK,Venezia,it Serie A,34,1987,16,0,0,0,0,0,0,0,,0,0.31,0.06,20,0.25,0.06,0,0,0,0,0,0,0,0,0,Matches
2307,Oriol Romeu\4b511457,es ESP,MF,Southampton,eng Premier League,29,1991,32.1,2.52,1.68,0.72,1.46,0.34,0.72,2.4,29.9,1.68,17.6,5.95,33.9,5.64,9.63,2.31,1.4,0.28,0,1.12,2.09,4.61,1.62,0,Matches
2308,Cristiano Ronaldo\dea698d9,pt POR,FW,Manchester Utd,eng Premier League,36,1985,27.3,0.37,0.29,0.07,0.18,0.11,0.15,0.26,57.1,0.11,6.67,1.79,26.9,0.84,2.82,3,0.44,0.07,0,0.37,0.18,0.55,1.14,0.04,Matches
2309,Cristiano Ronaldo\dea698d9,pt POR,FW,Juventus,it Serie A,36,1985,0.3,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,3.33,3.33,0,0,Matches
2310,Salomón Rondón\b318a643,ve VEN,FW,Everton,eng Premier League,31,1989,8.8,0.68,0.23,0,0.34,0.34,0.34,1.14,30,0.8,19.5,5.68,29.1,1.93,8.52,9.09,0.68,0.11,0,0.57,0.45,1.14,1.25,0,Matches
2311,Valentin Rongier\ed45c4a5,fr FRA,DFMF,Marseille,fr Ligue 1,26,1994,24.4,3.36,2.34,1.39,1.72,0.25,1.07,2.58,41.3,1.52,20,6.43,32.2,6.8,9.8,3.4,1.56,0.2,0,1.35,1.76,5.12,0.66,0,Matches
2312,Marten de Roon\2a1beb34,nl NED,MFDF,Atalanta,it Serie A,30,1991,28.3,2.93,1.63,1.34,1.31,0.28,1.1,2.37,46.3,1.27,19.5,6.04,30.9,7,10.2,2.37,1.24,0.11,0,1.13,2.33,5.27,2.05,0,Matches
2313,Unai Ropero\7868c973,es ESP,MF,Alavés,es La Liga,19,2001,0.1,0,0,0,0,0,0,0,,0,60,10,16.7,10,40,10,0,0,0,0,0,0,0,0,Matches
2314,Pablo Rosario\1a6b7ea4,nl NED,MF,Nice,fr Ligue 1,24,1997,30.3,2.31,1.42,0.66,1.35,0.3,0.69,1.95,35.6,1.25,16.1,5.12,31.8,4.03,8.98,3.07,1.29,0.4,0,0.89,1.62,3.93,1.58,0.03,Matches
2315,Romario Rösch\87ebfdb8,de GER,MF,Mainz 05,de Bundesliga,22,1999,0,0,0,0,0,0,0,0,,0,3,1,33.3,0,0,3,0,0,0,0,0,0,0,0,Matches
2316,Danny Rose\89d10e53,eng ENG,DF,Watford,eng Premier League,31,1990,7.7,2.99,1.95,1.95,1.04,0,1.56,3.77,41.4,2.21,11,4.42,40,5.71,4.68,0.65,1.82,0.78,0,1.04,1.95,4.94,1.69,0,Matches
2317,Francesco Rossi\7b5f516f,it ITA,GK,Atalanta,it Serie A,30,1991,0.4,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
2318,Tom Rothe\90c1f9a4,de GER,DF,Dortmund,de Bundesliga,16,2004,1,5,3,3,2,0,2,4,50,2,20,10,50,8,8,4,5,0,0,5,1,6,3,0,Matches
2319,Jérôme Roussillon\13203c45,fr FRA,DF,Wolfsburg,de Bundesliga,28,1993,19.7,1.47,0.81,0.76,0.66,0.05,0.41,0.96,42.1,0.56,12.3,3.91,31.8,5.38,4.77,2.13,2.34,0.25,0,2.08,1.22,2.69,1.68,0.05,Matches
2320,Nicolò Rovella\e58cbfd5,it ITA,MF,Genoa,it Serie A,19,2001,16.3,3.07,1.66,1.47,1.17,0.43,0.74,2.33,31.6,1.6,23.6,6.99,29.7,8.16,11.2,4.23,1.66,0.06,0,1.6,2.02,5.09,1.29,0.06,Matches
2321,Jon Rowe\8c12f884,eng ENG,FWMF,Norwich City,eng Premier League,18,2003,2.5,2.8,1.2,1.2,1.2,0.4,0.4,0.4,100,0,26.8,6.4,23.9,6,11.2,9.6,2.8,0,0,2.8,1.6,4.4,0,0,Matches
2322,Amir Rrahmani\4b3e1a38,xk KVX,DF,Napoli,it Serie A,27,1994,32.5,1.08,0.65,0.65,0.37,0.06,0.52,0.62,85,0.09,7.32,2.74,37.4,4,2.95,0.37,1.54,0.8,0,0.74,1.11,2.18,2.86,0.03,Matches
2323,Ruan\a378a02a,br BRA,DF,Sassuolo,it Serie A,22,1999,2.4,2.08,1.25,1.67,0.42,0,0.83,0.83,100,0,14.2,3.75,26.5,9.17,4.58,0.42,3.33,2.08,0,1.25,3.75,5.83,7.92,0.42,Matches
2324,Rubén\35d4f151,es ESP,DF,Espanyol,es La Liga,20,2001,1.7,2.35,0.59,1.18,1.18,0,1.18,2.94,40,1.76,11.2,1.76,15.8,7.06,2.94,1.18,1.76,0,0,1.76,1.18,3.53,2.94,0,Matches
2325,John Ruddy\da8b19e2,eng ENG,GK,Wolves,eng Premier League,34,1986,1.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
2326,Antonio Rüdiger\18b896d6,de GER,DF,Chelsea,eng Premier League,28,1993,33.7,1.57,0.83,0.89,0.62,0.06,0.89,1.36,65.2,0.47,8.72,2.73,31.3,4.33,3.41,0.98,1.22,0.39,0,0.83,1.28,2.85,3.26,0.03,Matches
2327,Sebastian Rudy\80f36c88,de GER,MF,Hoffenheim,de Bundesliga,31,1990,8.6,2.91,1.51,0.81,1.98,0.12,0.81,2.44,33.3,1.63,19.3,6.98,36.1,5.23,10.8,3.26,0.81,0.35,0,0.47,1.28,4.19,2.33,0.12,Matches
2328,Daniele Rugani\14b8fcdf,it ITA,DF,Juventus,it Serie A,27,1994,9.8,0.92,0.71,0.41,0.51,0,0.31,0.71,42.9,0.41,10,3.27,32.7,5.71,3.88,0.41,1.84,0.51,0,1.33,1.63,2.55,3.98,0,Matches
2329,Matteo Ruggeri\ae9898c5,it ITA,DF,Salernitana,it Serie A,19,2002,7.5,1.2,0.67,0.8,0.27,0.13,0.8,1.47,54.5,0.67,8.8,2.53,28.8,4.27,2.67,1.87,1.87,0.13,0,1.73,1.73,2.93,2.67,0,Matches
2330,Mário Rui\0b5a292a,pt POR,DF,Napoli,it Serie A,30,1991,33.2,2.35,1.17,1.05,0.99,0.3,1.27,2.44,51.9,1.17,11.5,4.01,34.9,4.67,4.25,2.56,1.45,0.21,0,1.23,1.48,3.83,1.36,0,Matches
2331,Aitor Ruibal\a55d8df5,es ESP,FWDF,Betis,es La Liga,25,1996,9.5,2.53,1.58,1.47,0.53,0.53,0.95,3.16,30,2.21,20.8,5.58,26.8,6.84,8.74,5.26,1.47,0,0,1.47,1.68,4.21,0.42,0,Matches
2332,Fabián Ruiz Peña\c0c7ff58,es ESP,MF,Napoli,it Serie A,25,1996,26.5,2.08,1.55,0.79,1.06,0.23,1.06,2.6,40.6,1.55,17.3,5.74,33.2,5.43,7.85,4,1.47,0.08,0,1.4,1.62,3.7,1.09,0,Matches
2333,Isma Ruiz\6e36226f,es ESP,MF,Granada,es La Liga,20,2001,3.1,0.97,0.32,0.97,0,0,0.97,2.58,37.5,1.61,24.5,8.71,35.5,12.9,10.3,1.29,2.26,0.97,0,1.29,2.26,3.23,0.97,0,Matches
2334,Víctor Ruiz\b3dc6eca,es ESP,DF,Betis,es La Liga,32,1989,15.8,0.7,0.38,0.32,0.25,0.13,0.25,0.38,66.7,0.13,5.7,2.09,36.7,2.66,2.66,0.38,1.84,0.95,0,0.89,2.66,3.35,4.56,0.13,Matches
2335,Gerónimo Rulli\625c144a,ar ARG,GK,Villarreal,es La Liga,29,1992,32,0,0,0,0,0,0,0.13,0,0.13,0.19,0.03,16.7,0.19,0,0,0,0,0,0,0,0,0,0.13,Matches
2336,Lukas Rupp\3faa1780,de GER,MF,Norwich City,eng Premier League,30,1991,8.5,1.18,0.94,0.59,0.59,0,0.47,1.65,28.6,1.18,20.2,6.24,30.8,8.82,8.59,2.82,0.94,0.12,0,0.82,2,3.18,0.47,0.12,Matches
2337,Alessandro Russo\7152082d,it ITA,MF,Salernitana,it Serie A,17,2003,0.3,0,0,0,0,0,0,3.33,0,3.33,26.7,0,0,20,6.67,0,0,0,0,0,0,0,6.67,0,Matches
2338,Franco Russo\b75ac54b,ar ARG,DF,Mallorca,es La Liga,26,1994,16.3,1.29,0.8,0.8,0.43,0.06,0.31,0.98,31.3,0.67,8.16,2.58,31.6,4.6,3.01,0.55,1.96,0.86,0,1.1,2.45,3.74,4.6,0.12,Matches
2339,Georginio Rutter\c64c01fc,fr FRA,FWMF,Hoffenheim,de Bundesliga,19,2002,17.9,1.4,0.89,0.39,0.5,0.5,0.39,0.84,46.7,0.45,22.9,7.32,32,2.01,8.55,12.3,1.4,0.06,0,1.34,0.45,1.84,0.5,0,Matches
2340,Mathew Ryan\4535e4bb,au AUS,GK,Real Sociedad,es La Liga,29,1992,3,0,0,0,0,0,0,0,,0,0.33,0.33,100,0.33,0,0,0,0,0,0,0,0,0,0,Matches
2341,Julian Ryerson\009a4f60,no NOR,DF,Union Berlin,de Bundesliga,23,1997,15.9,1.82,0.94,0.57,1.13,0.13,0.94,1.64,57.7,0.69,16.3,5.03,30.9,6.23,7.36,2.7,1.32,0.25,0,1.07,1.57,3.4,1.89,0,Matches
2342,Frederik Rønnow\a70b8345,dk DEN,GK,Union Berlin,de Bundesliga,28,1992,7,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
2343,José Sá\903b6e8b,pt POR,GK,Wolves,eng Premier League,28,1993,36.5,0.03,0,0.03,0,0,0.03,0.08,33.3,0.05,0.27,0.08,30,0.27,0,0,0.03,0,0,0.03,0,0.03,0.08,0.08,Matches
2344,Roli Pereira de Sa\60f58477,fr FRA,MF,Nantes,fr Ligue 1,24,1996,6.4,1.88,1.25,0.63,0.78,0.47,0.47,1.72,27.3,1.25,22.5,5.31,23.6,6.09,12.3,4.06,1.09,0,0,1.09,1.41,3.28,0.63,0,Matches
2345,Youssouf Sabaly\fbbb9269,sn SEN,DF,Betis,es La Liga,28,1993,8.8,1.36,0.8,1.36,0,0,0.68,1.36,50,0.68,9.2,3.18,34.6,5,2.16,2.05,2.61,0.45,0,2.16,2.16,3.52,1.7,0.11,Matches
2346,Mathys Saban\7d9f3d69,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,19,2002,0.8,1.25,0,0,1.25,0,0,1.25,0,1.25,16.3,1.25,7.7,6.25,7.5,2.5,2.5,0,0,2.5,0,1.25,0,0,Matches
2347,Stefano Sabelli\0ccac09c,it ITA,DF,Genoa,it Serie A,28,1993,3.9,1.79,0.77,1.28,0.51,0,0.51,3.33,15.4,2.82,16.7,4.62,27.7,8.21,5.64,2.82,2.31,0.26,0,2.05,3.33,5.13,2.05,0,Matches
2348,Abdelhamid Sabiri\4830e0af,de GER,MFFW,Sampdoria,it Serie A,24,1996,9.9,3.23,2.22,0.61,1.72,0.91,0.51,1.31,38.5,0.81,26.3,6.77,25.8,4.14,14.4,7.68,1.01,0.1,0,0.91,0.81,4.04,0.61,0,Matches
2349,Marcel Sabitzer\e280527c,at AUT,MFDF,Bayern Munich,de Bundesliga,27,1994,10.1,2.18,0.89,0.89,0.99,0.3,0.99,2.48,40,1.49,17.8,5.54,31.1,4.36,9.31,4.16,1.09,0.2,0,0.89,1.29,3.47,0.99,0,Matches
2350,Marcel Sabitzer\e280527c,at AUT,MFFW,RB Leipzig,de Bundesliga,27,1994,0.5,2,2,2,0,0,2,2,100,0,10,4,40,2,8,0,2,0,0,2,2,4,0,0,Matches
2351,Falaye Sacko\6388e356,ml MLI,DF,Saint-Étienne,fr Ligue 1,26,1995,7.4,2.7,1.49,2.16,0.54,0,2.16,2.97,72.7,0.81,13.2,4.05,30.6,6.76,5.81,0.68,2.03,1.08,0,0.95,2.43,5.14,2.16,0,Matches
2352,Alexis Saelemaekers\ee251371,be BEL,FW,Milan,it Serie A,22,1999,20.7,1.98,1.21,0.63,0.68,0.68,0.77,2.32,33.3,1.55,20,5.07,25.4,4.54,8.36,7.1,1.16,0,0,1.16,1.35,3.33,0.39,0,Matches
2353,Rafiki Said Ahamada\c2e5f306,fr FRA,MFFW,Brest,fr Ligue 1,21,2000,1.4,3.57,2.86,1.43,0.71,1.43,1.43,2.14,66.7,0.71,27.1,7.86,28.9,8.57,8.57,10,0.71,0,0,0.71,0,3.57,0,0,Matches
2354,Wesley Saïd\90fcf472,fr FRA,FWMF,Lens,fr Ligue 1,26,1995,7.3,1.1,0.55,0.14,0.82,0.14,0.27,0.82,33.3,0.55,20.4,4.66,22.8,1.51,11.9,6.99,0.82,0.14,0,0.68,0.55,1.64,0,0,Matches
2355,Allan Saint-Maximin\2b16cb1a,fr FRA,FWMF,Newcastle Utd,eng Premier League,24,1997,31.2,0.29,0.19,0.13,0.06,0.1,0.06,0.58,11.1,0.51,8.24,2.15,26.1,1.67,3.53,3.04,0.54,0.03,0,0.51,0.67,0.96,0.06,0,Matches
2356,Romain Saïss\9fbbcf39,ma MAR,DF,Wolves,eng Premier League,31,1990,30.1,1.99,1.26,1.33,0.56,0.1,0.6,1.06,56.3,0.47,9.4,3.42,36.4,5.38,3.36,0.66,2.03,0.8,0,1.23,2.69,4.68,5.75,0.03,Matches
2357,Bukayo Saka\bc7dc64d,eng ENG,FWMF,Arsenal,eng Premier League,19,2001,33.1,1.12,0.69,0.39,0.42,0.3,0.21,0.94,22.6,0.73,15,4.05,27,3.32,5.68,5.98,1.24,0.06,0,1.18,0.94,2.05,0.57,0,Matches
2358,Mamadou Sakho\87935cf3,fr FRA,DF,Montpellier,fr Ligue 1,31,1990,28.6,1.47,0.73,1.19,0.21,0.07,0.63,0.87,72,0.24,5.03,2.06,41,3.53,1.29,0.21,2.1,1.29,0.03,0.8,2.27,3.74,4.72,0,Matches
2359,Bakary Sako\381d7d54,ml MLI,FWMF,Saint-Étienne,fr Ligue 1,33,1988,1.7,0.59,0.59,0,0,0.59,0,0,,0,18.2,3.53,19.4,0.59,8.82,8.82,1.18,0.59,0.59,0.59,1.18,1.76,0,0,Matches
2360,Jacopo Sala\da5a981b,it ITA,MF,Spezia,it Serie A,29,1991,9.8,2.35,1.63,0.71,1.33,0.31,1.22,3.88,31.6,2.65,23.7,7.86,33.2,9.08,12.2,2.35,1.12,0.1,0,1.02,2.24,4.59,0.82,0,Matches
2361,Mohamed Salah\e342ad68,eg EGY,FW,Liverpool,eng Premier League,29,1992,30.7,0.55,0.23,0.16,0.23,0.16,0.13,0.68,19,0.55,14.6,4.14,28.3,2.18,4.14,8.27,0.42,0.03,0,0.39,0.49,1.04,0.13,0,Matches
2362,Eddie Salcedo\0489bb30,it ITA,MFFW,Spezia,it Serie A,19,2001,4.8,0.21,0,0,0,0.21,0,0,,0,10.2,3.75,36.7,2.29,4.79,3.13,1.04,0.21,0,0.83,0.83,1.04,1.04,0,Matches
2363,William Saliba\972aeb2a,fr FRA,DF,Marseille,fr Ligue 1,20,2001,36,1.81,1.17,1.31,0.42,0.08,0.42,0.89,46.9,0.47,8.25,3.86,46.8,4.58,3.19,0.47,1.36,0.47,0,0.89,2.22,4.03,2.53,0.06,Matches
2364,Romain Salin\74733221,fr FRA,GK,Rennes,fr Ligue 1,37,1984,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
2365,Mohammed Salisu\0b33f6ad,gh GHA,DF,Southampton,eng Premier League,22,1999,33,2.76,1.82,1.91,0.76,0.09,1.24,2.18,56.9,0.94,11,4.48,40.7,6.61,3.73,0.7,2.09,0.85,0.03,1.24,2.82,5.58,5.94,0.15,Matches
2366,Roland Sallai\bf075f6b,hu HUN,MFFW,Freiburg,de Bundesliga,24,1997,17.2,1.69,0.99,0.7,0.64,0.35,0.52,1.51,34.6,0.99,15.1,4.48,29.7,3.66,6.34,5.06,1.05,0,0,1.05,1.05,2.73,0.87,0,Matches
2367,Yoann Salmier\c3725db2,gf GUF,DF,Troyes,fr Ligue 1,28,1992,29.6,2.03,1.32,1.39,0.61,0.03,0.51,1.01,50,0.51,8.65,3.41,39.5,5.34,2.8,0.51,1.59,0.47,0,1.11,2.26,4.29,3.24,0.03,Matches
2368,Salvi\405f267a,es ESP,MFFW,Cádiz,es La Liga,30,1991,15.5,1.16,0.65,0.45,0.58,0.13,0.19,1.03,18.8,0.84,15.5,3.48,22.4,3.68,7.74,4.13,1.42,0.13,0,1.29,0.52,1.68,1.35,0,Matches
2369,Lazar Samardzic\217c93a1,de GER,MF,Udinese,it Serie A,19,2002,5.4,3.33,2.96,0.93,1.67,0.74,1.85,4.63,40,2.78,31.5,11.3,35.9,8.15,13.7,9.63,1.3,0,0,1.3,0.74,4.07,0.37,0,Matches
2370,Diadie Samassékou\08593525,ml MLI,MF,Hoffenheim,de Bundesliga,25,1996,18.4,2.83,1.9,0.92,1.52,0.38,1.14,2.34,48.8,1.2,18.7,6.03,32.3,4.29,11.4,2.99,2.12,0.6,0,1.52,1.96,4.78,2.17,0,Matches
2371,Mama Samba Baldé\fb14aa28,gw GNB,FWMF,Troyes,fr Ligue 1,25,1995,19.1,2.3,1.31,0.94,0.68,0.68,0.42,1.41,29.6,0.99,23.5,5.86,25,3.98,11.3,8.22,1.62,0.05,0,1.57,0.89,3.19,0.37,0,Matches
2372,Albert Sambi Lokonga\1b4f1169,be BEL,MF,Arsenal,eng Premier League,21,1999,12.6,1.75,1.03,0.71,0.79,0.24,0.71,1.19,60,0.48,11,3.73,34.1,3.57,5.08,2.3,1.43,0.63,0,0.79,1.83,3.57,1.43,0.16,Matches
2373,Junior Sambia\24eb7ed6,fr FRA,DFFW,Montpellier,fr Ligue 1,24,1996,17,1.18,0.47,0.65,0.35,0.18,0.35,1,35.3,0.65,11.5,2.82,24.6,4.29,4.12,3.06,2.71,0.29,0,2.41,1.71,2.88,1.47,0,Matches
2374,Luigi Samele\548fea2f,it ITA,FW,Sassuolo,it Serie A,19,2002,0.1,0,0,0,0,0,0,0,,0,10,0,0,10,0,0,0,0,0,0,0,0,10,0,Matches
2375,Fede San Emeterio\efecd633,es ESP,MF,Cádiz,es La Liga,24,1997,9.2,2.07,1.3,0.98,1.09,0,0.76,1.74,43.8,0.98,23.8,7.5,31.5,8.8,12.7,2.28,0.43,0,0,0.43,0.87,2.93,1.3,0,Matches
2376,Antonio Sanabria\0a447501,py PAR,FW,Torino,it Serie A,25,1996,20,0.35,0.3,0.1,0.1,0.15,0.05,0.25,20,0.2,15.3,3.9,25.5,0.4,4.85,10.1,0.8,0.2,0,0.6,0.25,0.6,0.55,0,Matches
2377,Oihan Sancet\bdb624a3,es ESP,FW,Athletic Club,es La Liga,21,2000,15.8,1.14,0.7,0.19,0.63,0.32,0.25,0.44,57.1,0.19,17.1,4.87,28.5,1.27,6.96,8.86,0.57,0.06,0,0.51,0.44,1.58,0.7,0,Matches
2378,Renato Sanches\032f894e,pt POR,MF,Lille,fr Ligue 1,23,1997,18.3,1.37,0.87,0.6,0.66,0.11,0.38,1.42,26.9,1.04,15.4,5.25,34.2,4.37,8.42,2.57,0.71,0.16,0,0.55,0.98,2.35,0.71,0,Matches
2379,Alexis Sánchez\2c0f8e9e,cl CHI,FW,Inter,it Serie A,32,1988,9.8,1.22,1.12,0.1,0.82,0.31,0.31,1.02,30,0.71,16.7,5.61,33.5,1.73,6.94,8.06,0.2,0,0,0.2,0.71,1.94,0.1,0,Matches
2380,Antonio Sánchez\a254bbe0,es ESP,MFFW,Mallorca,es La Liga,24,1997,18,3.06,1.56,1.28,1.28,0.5,1.22,2.5,48.9,1.28,25.9,6.39,24.7,7.61,13.2,5.06,2.33,0.22,0,2.11,2.17,5.22,1.78,0.06,Matches
2381,Davinson Sánchez\da7b447d,co COL,DF,Tottenham,eng Premier League,25,1996,18.1,2.49,1.22,1.33,0.94,0.22,0.88,1.49,59.3,0.61,10.3,3.65,35.5,4.92,4.42,0.94,1.93,1.05,0,0.88,1.88,4.36,4.2,0,Matches
2382,Germán Sánchez\ea9b2ef9,es ESP,DF,Granada,es La Liga,34,1986,24.5,1.22,0.65,0.86,0.37,0,0.61,1.14,53.6,0.53,7.02,2.69,38.4,3.84,3.02,0.16,1.31,0.65,0.04,0.65,1.43,2.65,6.82,0,Matches
2383,Juan Sánchez\ff4f78e1,es ESP,MF,Sevilla,es La Liga,17,2003,0.1,10,10,10,0,0,0,10,0,10,50,10,20,40,0,10,10,0,0,10,0,10,0,0,Matches
2384,Manuel Sánchez\ffacd3d5,es ESP,DF,Osasuna,es La Liga,20,2000,25.1,2.83,1.59,1.55,0.76,0.52,1.67,3.51,47.7,1.83,21.7,5.9,27.2,7.77,9.52,4.38,1.63,0.16,0,1.47,1.31,4.14,1.63,0,Matches
2385,Robert Sánchez\6a713852,es ESP,GK,Brighton,eng Premier League,23,1997,37,0,0,0,0,0,0,0,,0,0.14,0.03,20,0.14,0,0,0.05,0,0,0.05,0,0,0,0.11,Matches
2386,Jadon Sancho\dbf053da,eng ENG,FWMF,Manchester Utd,eng Premier League,21,2000,21.1,0.85,0.62,0.38,0.38,0.09,0.33,1.09,30.4,0.76,13.1,3.22,24.6,3.08,6.07,3.93,1.33,0.09,0,1.23,1.14,1.99,0.24,0.09,Matches
2387,Philippe Sandler\60740e70,nl NED,DF,Troyes,fr Ligue 1,24,1997,0.8,1.25,1.25,1.25,0,0,0,1.25,0,1.25,8.75,3.75,42.9,6.25,2.5,0,3.75,1.25,0,2.5,1.25,2.5,6.25,0,Matches
2388,Alex Sandro\0d82903c,br BRA,DF,Juventus,it Serie A,30,1991,19.8,1.46,0.86,0.91,0.3,0.25,0.3,1.31,23.1,1.01,10.9,3.48,31.9,4.75,4.09,2.07,1.72,0.4,0,1.31,1.77,3.23,1.87,0,Matches
2389,Leroy Sané\2b114be3,de GER,FWMF,Bayern Munich,de Bundesliga,25,1996,22,1.5,0.91,0.18,1,0.32,0.59,1.36,43.3,0.77,16.7,6,36,2.23,7.27,7.18,0.77,0,0,0.77,1.09,2.59,0.18,0.05,Matches
2390,Oier Sanjurjo\466824fb,es ESP,MF,Osasuna,es La Liga,35,1986,8.4,1.55,1.19,0.6,0.71,0.24,0.6,2.38,25,1.79,19.5,4.88,25,5.83,11,2.74,1.07,0.48,0,0.6,0.24,1.79,1.19,0,Matches
2391,Mohamed Sankoh\be625686,nl NED,FW,Stuttgart,de Bundesliga,17,2003,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
2392,Morgan Sanson\6e7f1353,fr FRA,MF,Aston Villa,eng Premier League,26,1994,4,3,2,1.25,1,0.75,1,1.5,66.7,0.5,33.8,11.5,34.1,12.8,15,6,3.75,0,0,3.75,2.75,5.75,0.5,0,Matches
2393,Nicola Sansone\7eb97a8e,it ITA,FWMF,Bologna,it Serie A,29,1991,10,1.5,0.9,0.5,0.9,0.1,0.3,1.7,17.6,1.4,18.5,4.6,24.9,4.3,8.4,5.8,0.2,0,0,0.2,0.9,2.4,0.3,0,Matches
2394,Baptiste Santamaria\5e22e2a4,fr FRA,MFDF,Rennes,fr Ligue 1,26,1995,28,1.79,0.79,0.64,0.93,0.21,0.61,1.57,38.6,0.96,15.3,4.21,27.6,4.11,8.43,2.75,1.39,0.43,0,0.96,1.71,3.5,1.57,0,Matches
2395,Baptiste Santamaria\5e22e2a4,fr FRA,MF,Freiburg,de Bundesliga,26,1995,0.2,0,0,0,0,0,0,5,0,5,15,15,100,5,5,5,5,0,0,5,0,0,5,0,Matches
2396,Federico Santander\df85d472,py PAR,FWDF,Bologna,it Serie A,30,1991,0.7,2.86,2.86,1.43,1.43,0,0,0,,0,24.3,5.71,23.5,2.86,7.14,14.3,1.43,1.43,0,0,1.43,4.29,0,0,Matches
2397,Jesús Santiago\bc49fd34,es ESP,MF,Valencia,es La Liga,17,2004,0.9,2.22,1.11,0,2.22,0,0,1.11,0,1.11,27.8,5.56,20,7.78,13.3,6.67,1.11,0,0,1.11,0,2.22,1.11,0,Matches
2398,Samir Santos\92b4758e,br BRA,DF,Watford,eng Premier League,26,1994,18.6,1.72,1.02,1.13,0.54,0.05,0.54,0.91,58.8,0.38,7.69,2.85,37.1,5.27,2.04,0.38,1.51,0.59,0.05,0.91,2.9,4.62,4.41,0.11,Matches
2399,Samir Santos\92b4758e,br BRA,DF,Udinese,it Serie A,26,1994,15.8,2.72,1.46,1.58,1.08,0.06,0.95,1.65,57.7,0.7,13.6,3.42,25.1,7.72,5.32,0.57,2.03,0.44,0,1.58,3.23,5.95,3.86,0.06,Matches
