,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
48,Sofiane Alakouch\5314e067,ma MAR,DFMF,Metz,fr Ligue 1,23,1998,1.8,0,0.56,0,0,0.57,0,0,,26,0,0,0,0,0,0.03,0,0,Matches
49,Tomás Alarcón\99ea2ddd,cl CHI,MF,Cádiz,es La Liga,22,1999,15.8,0,0.95,0.13,13.3,0.95,0.13,0,0,24.6,0,0,0,0.06,0.06,0.07,-0.06,-0.06,Matches
50,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,de Bundesliga,28,1992,7.3,0.82,3.15,1.78,56.5,3.16,1.79,0.26,0.46,11.2,0,0,0.14,0.89,0.79,0.25,-0.07,0.03,Matches
51,Jordi Alba\4601e194,es ESP,DF,Barcelona,es La Liga,32,1989,29.4,0.07,1.05,0.2,19.4,1.06,0.2,0.06,0.33,23.5,0.03,0,0,0.04,0.04,0.04,0.02,0.02,Matches
52,Josué Albert\3d738df0,gf GUF,DF,Clermont Foot,fr Ligue 1,29,1992,0.2,0,5,0,0,4.09,0,0,,18.6,0,0,0,0,0,0.05,0,0,Matches
53,Luis Alberto\5294a83f,es ESP,MF,Lazio,it Serie A,28,1992,26.1,0.19,1.8,0.61,34,1.8,0.61,0.11,0.31,19.8,0.04,0,0,0.13,0.13,0.08,0.06,0.06,Matches
54,Raúl Albiol\4bd414c1,es ESP,DF,Villarreal,es La Liga,35,1985,27.4,0,0.22,0.04,16.7,0.22,0.04,0,0,8.1,0,0,0,0.02,0.02,0.09,-0.02,-0.02,Matches
55,Marc Albrighton\b827d5b3,eng ENG,FWDF,Leicester City,eng Premier League,31,1989,12.6,0.08,0.32,0.08,25,0.32,0.08,0.25,1,16.7,0,0,0,0.04,0.04,0.13,0.04,0.04,Matches
56,Paco Alcácer\a7a9d95a,es ESP,FW,Villarreal,es La Liga,27,1993,8.7,0.11,2.18,0.92,42.1,2.17,0.91,0.05,0.13,13,0.11,0,0,0.43,0.43,0.2,-0.31,-0.31,Matches
57,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,eng Premier League,30,1991,17,0.06,1.47,0.35,24,1.47,0.35,0.04,0.17,18.2,0,0,0,0.11,0.11,0.08,-0.05,-0.05,Matches
58,Rubén Alcaraz\036bba5f,es ESP,MF,Cádiz,es La Liga,30,1991,12.3,0.16,1.87,0.49,26.1,1.87,0.49,0.09,0.33,22.7,0.41,0,0,0.11,0.11,0.05,0.06,0.06,Matches
59,Omar Alderete\bb08bce9,py PAR,DF,Valencia,es La Liga,24,1996,26.7,0.07,0.64,0.19,29.4,0.64,0.19,0.12,0.4,16.3,0,0,0,0.03,0.03,0.06,0.04,0.04,Matches
60,Iván Alejo\3d7e48ce,es ESP,MFFW,Cádiz,es La Liga,26,1995,11.8,0.17,1.02,0.34,33.3,1.01,0.34,0.17,0.5,21.2,0,0,0,0.08,0.08,0.08,0.08,0.08,Matches
61,Doğan Alemdar\9e17ccff,tr TUR,GK,Rennes,fr Ligue 1,18,2002,12,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
62,Carles Aleñá\6c811eb7,es ESP,MF,Getafe,es La Liga,23,1998,25.8,0.04,1.82,0.54,29.8,1.82,0.54,0.02,0.07,23.2,0,0,0,0.08,0.08,0.04,-0.04,-0.04,Matches
63,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,eng Premier League,22,1998,31.7,0.06,1.61,0.44,27.5,1.61,0.44,0.04,0.14,23,0.16,0,0,0.09,0.09,0.05,-0.02,-0.02,Matches
64,Mircea Alexandru Tirlea\683a1d81,ro ROU,DF,Alavés,es La Liga,21,2000,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
