,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
2441,Alexander Schwolow\0d55d942,de GER,GK,Hertha BSC,de Bundesliga,29,1992,24.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2442,Valentino Scotta\98529579,es ESP,DF,Sevilla,es La Liga,19,2001,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2443,Demba Seck\16463a79,sn SEN,FWMF,Torino,it Serie A,20,2001,1.6,0,2.5,1.88,75,2.47,1.85,0,0,16.7,0,0,0,0.37,0.37,0.15,-0.37,-0.37,Matches
2444,Aleksandar Sedlar\a35134ae,rs SRB,DFMF,Mallorca,es La Liga,29,1991,4.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2445,Paul Seguin\8872ed17,de GER,MF,Greuther Fürth,de Bundesliga,26,1995,23.4,0,0.47,0.09,18.2,0.47,0.09,0,0,22,0.09,0,0,0.02,0.02,0.04,-0.02,-0.02,Matches
2446,Alidu Seidu\cea59f02,gh GHA,DF,Clermont Foot,fr Ligue 1,21,2000,15.7,0,0.57,0.06,11.1,0.57,0.06,0,0,21.9,0,0,0,0.04,0.04,0.07,-0.04,-0.04,Matches
2447,Davie Selke\1238a3f9,de GER,FW,Hertha BSC,de Bundesliga,26,1995,11.2,0.36,2.05,0.8,39.1,2.06,0.81,0.13,0.33,12.8,0,0.09,0.09,0.28,0.21,0.1,0.08,0.05,Matches
2448,Matz Sels\834b5c4c,be BEL,GK,Strasbourg,fr Ligue 1,29,1992,37,0,0.05,0,0,0.05,0,0,,13.5,0,0,0,0,0,0.03,0,0,Matches
2449,Ken Sema\1770bd68,se SWE,MFFW,Watford,eng Premier League,27,1993,9.5,0,0.32,0.11,33.3,0.32,0.11,0,0,21.1,0.11,0,0,0.02,0.02,0.06,-0.02,-0.02,Matches
2450,Nélson Semedo\d04b94db,pt POR,DF,Wolves,eng Premier League,27,1993,23.7,0,0.8,0.17,21.1,0.8,0.17,0,0,20.3,0,0,0,0.06,0.06,0.07,-0.06,-0.06,Matches
2451,Lion Semić\87ebd8c9,de GER,DF,Dortmund,de Bundesliga,17,2003,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2452,Adrian Šemper\f02dde20,hr CRO,GK,Genoa,it Serie A,23,1998,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2453,Stefano Sensi\b70bde8f,it ITA,MF,Sampdoria,it Serie A,25,1995,8.4,0.12,1.19,0.48,40,1.19,0.48,0.1,0.25,22.1,0,0,0,0.12,0.12,0.1,0,0,Matches
2454,Stefano Sensi\b70bde8f,it ITA,MF,Inter,it Serie A,25,1995,1.9,0,1.58,0,0,1.62,0,0,,11.8,0,0,0,0.16,0.16,0.11,-0.16,-0.16,Matches
2455,Luigi Sepe\343f753a,it ITA,GK,Salernitana,it Serie A,30,1991,15.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2456,Suat Serdar\b3325a30,de GER,MFFW,Hertha BSC,de Bundesliga,24,1997,24.6,0.12,1.34,0.41,30.3,1.34,0.41,0.09,0.3,17.2,0,0,0,0.1,0.1,0.07,0.02,0.02,Matches
2457,Laurens Serpe\79d60e74,it ITA,DF,Genoa,it Serie A,20,2001,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2458,Janni Serra\40b58bfc,de GER,FW,Arminia,de Bundesliga,23,1998,12.4,0.24,1.94,0.81,41.7,1.93,0.81,0.13,0.3,13.1,0,0,0,0.24,0.24,0.13,0,0,Matches
2459,Javier Serrano\0a8fd9cb,es ESP,MF,Atlético Madrid,es La Liga,18,2003,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2460,Nicolás Serrano\2ad0e5e5,es ESP,MF,Athletic Club,es La Liga,18,2003,3.5,0.29,2.57,1.43,55.6,2.56,1.42,0.11,0.2,25.3,0,0,0,0.14,0.14,0.06,0.14,0.14,Matches
2461,Zidan Sertdemir\eec1f7f4,dk DEN,MFFW,Leverkusen,de Bundesliga,16,2005,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2462,Ryan Sessegnon\6aa3e78b,eng ENG,DF,Tottenham,eng Premier League,21,2000,11.6,0,0.52,0.09,16.7,0.52,0.09,0,0,13.6,0,0,0,0.03,0.03,0.06,-0.03,-0.03,Matches
2463,Nils Seufert\0da32a38,de GER,MF,Greuther Fürth,de Bundesliga,24,1997,1.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2464,Salva Sevilla\75bd85ea,es ESP,MF,Mallorca,es La Liga,37,1984,16.7,0.3,1.32,0.24,18.2,1.31,0.24,0.05,0.25,25.9,0.42,0.24,0.24,0.28,0.09,0.07,0.02,-0.03,Matches
2465,Stephan El Shaarawy\d3aaad90,it ITA,DFFW,Roma,it Serie A,28,1992,11.7,0.26,3.33,1.11,33.3,3.33,1.11,0.08,0.23,18.2,0.09,0,0,0.26,0.26,0.08,0,0,Matches
2466,Jamie Shackleton\8d03ca5a,eng ENG,DFMF,Leeds United,eng Premier League,21,1999,7.9,0,0.51,0.13,25,0.51,0.13,0,0,18.8,0,0,0,0.03,0.03,0.05,-0.03,-0.03,Matches
2467,Xherdan Shaqiri\6421ec64,ch SUI,FWMF,Lyon,fr Ligue 1,29,1991,7.5,0.27,1.73,0.67,38.5,1.72,0.66,0.15,0.4,20.4,0.4,0,0,0.08,0.08,0.05,0.19,0.19,Matches
2468,Luke Shaw\9c94165b,eng ENG,DF,Manchester Utd,eng Premier League,26,1995,17.8,0,0.34,0.06,16.7,0.34,0.06,0,0,23.6,0,0,0,0.01,0.01,0.03,-0.01,-0.01,Matches
2469,Jonjo Shelvey\3727dd3c,eng ENG,MF,Newcastle Utd,eng Premier League,29,1992,22,0.09,1.32,0.64,48.3,1.32,0.64,0.07,0.14,26.3,0.27,0,0,0.04,0.04,0.03,0.05,0.05,Matches
2470,Aimar Sher\ef301f96,se SWE,MF,Spezia,it Serie A,18,2002,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2471,Eldor Shomurodov\57469b2d,uz UZB,FWMF,Roma,it Serie A,26,1995,8.7,0.34,3.56,1.26,35.5,3.56,1.26,0.1,0.27,12.1,0,0,0,0.46,0.46,0.13,-0.11,-0.11,Matches
2472,Shola Shoretire\00f0482f,eng ENG,FW,Manchester Utd,eng Premier League,17,2004,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2473,Mahame Siby\6d075c67,ml MLI,MFDF,Strasbourg,fr Ligue 1,25,1996,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2474,Aboubakar Sidibé\ae5b93a0,fr FRA,FW,Clermont Foot,fr Ligue 1,25,1996,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2475,Alassane Sidibe\f944979d,ci CIV,FW,Atalanta,it Serie A,19,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2476,Djibril Sidibé\4c5b714f,fr FRA,DF,Monaco,fr Ligue 1,29,1992,10.5,0,0.38,0.1,25,0.38,0.09,0,0,22.5,0.1,0,0,0.02,0.02,0.04,-0.02,-0.02,Matches
2477,Kaj Sierhuis\9c2b1f11,nl NED,FW,Reims,fr Ligue 1,23,1998,0.9,0,2.22,0,0,2.25,0,0,,19,0,0,0,0.11,0.11,0.04,-0.11,-0.11,Matches
2478,Francisco Sierralta\0f933743,cl CHI,DF,Watford,eng Premier League,24,1997,4.7,0,0.21,0.21,100,0.21,0.21,0,0,9,0,0,0,0,0,0.05,0,0,Matches
2479,Arnór Sigurðsson\f209b81e,is ISL,MFFW,Venezia,it Serie A,22,1999,2,0,0.5,0,0,0.49,0,0,,9,0,0,0,0.05,0.05,0.09,-0.05,-0.05,Matches
2480,Kiliann Sildillia\313254a3,fr FRA,DF,Freiburg,de Bundesliga,19,2002,1.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2481,Adrien Silva\d6f88a1d,pt POR,MF,Sampdoria,it Serie A,32,1989,12,0,0.67,0.17,25,0.66,0.17,0,0,24.1,0,0,0,0.02,0.02,0.03,-0.02,-0.02,Matches
2482,André Silva\3effaa34,pt POR,FW,RB Leipzig,de Bundesliga,25,1995,23.1,0.48,2.34,1,42.6,2.34,1,0.15,0.35,11.1,0,0.13,0.13,0.53,0.45,0.19,-0.05,-0.1,Matches
2483,Bernardo Silva\3eb22ec9,pt POR,MFFW,Manchester City,eng Premier League,26,1994,31.7,0.25,1.48,0.6,40.4,1.48,0.6,0.17,0.42,12.4,0,0,0,0.21,0.21,0.14,0.04,0.04,Matches
2484,Caio Henrique Oliveira Silva\30af8b93,br BRA,DF,Monaco,fr Ligue 1,24,1997,29.6,0.07,0.64,0.2,31.6,0.64,0.2,0.11,0.33,21.3,0.14,0,0,0.03,0.03,0.05,0.03,0.03,Matches
2485,David Silva\e2716bd0,es ESP,MF,Real Sociedad,es La Liga,35,1986,19.1,0.1,1.1,0.31,28.6,1.1,0.31,0.1,0.33,15.9,0,0,0,0.14,0.14,0.13,-0.04,-0.04,Matches
2486,Fábio Silva\e7aa9d7c,pt POR,FW,Wolves,eng Premier League,19,2002,6.4,0,2.97,0.78,26.3,2.99,0.79,0,0,13.2,0,0,0,0.36,0.36,0.12,-0.36,-0.36,Matches
2487,Gabriel Silva\4914ed4a,br BRA,DF,Saint-Étienne,fr Ligue 1,30,1991,7.9,0,0.13,0,0,0.13,0,0,,16.8,0,0,0,0,0,0.04,0,0,Matches
2488,Jonathan Silva\f2308b33,ar ARG,DFMF,Getafe,es La Liga,27,1994,2.5,0,0.4,0.4,100,0.4,0.4,0,0,20.9,0,0,0,0,0,0.03,0,0,Matches
2489,Rui Silva\ea83bfa6,pt POR,GK,Betis,es La Liga,27,1994,21.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2490,Thiago Silva\86e7deaf,br BRA,DF,Chelsea,eng Premier League,36,1984,29.4,0.1,0.61,0.17,27.8,0.61,0.17,0.17,0.6,10.7,0,0,0,0.03,0.03,0.05,0.07,0.07,Matches
2491,Marco Silvestri\0d422df7,it ITA,GK,Udinese,it Serie A,30,1991,35,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2492,Mohamed Simakan\fcb27134,fr FRA,DF,RB Leipzig,de Bundesliga,21,2000,22.3,0.04,0.54,0.13,25,0.54,0.13,0.08,0.33,11.4,0,0,0,0.04,0.04,0.08,0,0,Matches
2493,Giovanni Simeone\343c0d52,ar ARG,FW,Hellas Verona,it Serie A,26,1995,29.5,0.58,2.41,1.12,46.5,2.41,1.12,0.24,0.52,13.8,0,0,0.03,0.36,0.34,0.14,0.21,0.24,Matches
2494,Giovanni Simeone\343c0d52,ar ARG,FW,Cagliari,it Serie A,26,1995,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2495,Giuliano Simeone\a6536561,ar ARG,DF,Atlético Madrid,es La Liga,18,2002,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2496,Ellis Simms\26d3b5be,eng ENG,FW,Everton,eng Premier League,20,2001,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2497,Moses Simon\5f3eaaf5,ng NGA,FWMF,Nantes,fr Ligue 1,26,1995,25.9,0.23,1.58,0.54,34.1,1.58,0.54,0.15,0.43,16.3,0.08,0,0,0.15,0.15,0.1,0.08,0.08,Matches
2498,Unai Simón\5dcf3e90,es ESP,GK,Athletic Club,es La Liga,24,1997,34,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2499,Xavi Simons\da4d670f,nl NED,FWMF,Paris S-G,fr Ligue 1,18,2003,1.5,0,1.33,0,0,1.36,0,0,,12.1,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches
2500,Wilfried Singo\8b609c34,ci CIV,DF,Torino,it Serie A,20,2000,29,0.1,1.41,0.24,17.1,1.42,0.24,0.07,0.43,14.8,0,0,0,0.09,0.09,0.07,0.01,0.01,Matches
2501,Daley Sinkgraven\73000a79,nl NED,DF,Leverkusen,de Bundesliga,26,1995,3.9,0,0.26,0.26,100,0.26,0.26,0,0,11.7,0,0,0,0.08,0.08,0.26,-0.08,-0.08,Matches
2502,Tobias Sippel\0d8a37c2,de GER,GK,M'Gladbach,de Bundesliga,33,1988,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2503,Hugo Siquet\c6cf860f,be BEL,DF,Freiburg,de Bundesliga,19,2002,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2504,Salvatore Sirigu\10dc46f0,it ITA,GK,Genoa,it Serie A,34,1987,37,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2505,Issouf Sissokho\792a9d41,ml MLI,MF,Bordeaux,fr Ligue 1,19,2002,4.8,0,0.63,0.42,66.7,0.62,0.41,0,0,24,0,0,0,0.02,0.02,0.04,-0.02,-0.02,Matches
2506,Ibrahima Sissoko\0f8418aa,fr FRA,MFDF,Strasbourg,fr Ligue 1,23,1997,25.6,0.08,1.02,0.2,19.2,1.02,0.2,0.08,0.4,13.6,0,0,0,0.1,0.1,0.1,-0.02,-0.02,Matches
2507,Moussa Sissoko\2acd49b9,fr FRA,MF,Watford,eng Premier League,31,1989,35.8,0.06,0.7,0.22,32,0.7,0.22,0.08,0.25,16.4,0,0,0,0.09,0.09,0.14,-0.04,-0.04,Matches
2508,Nelson Sissoko\12bd0579,fr FRA,DF,Saint-Étienne,fr Ligue 1,24,1997,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2509,Sambou Sissoko\e4bb1f08,fr FRA,MFDF,Reims,fr Ligue 1,22,1999,2,0,1.5,0,0,1.53,0,0,,21.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
2510,Antonio Sivera\9970da54,es ESP,GK,Alavés,es La Liga,24,1996,3.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2511,Ellyes Skhiri\c2211709,tn TUN,MF,Köln,de Bundesliga,26,1995,20.2,0.2,1.14,0.4,34.8,1.14,0.4,0.17,0.5,15.1,0,0,0,0.16,0.16,0.14,0.03,0.03,Matches
2512,Oliver Skipp\6250083a,eng ENG,MF,Tottenham,eng Premier League,20,2000,15,0,0.27,0.07,25,0.27,0.07,0,0,24.1,0,0,0,0.01,0.01,0.05,-0.01,-0.01,Matches
2513,Leo Skiri Østigård\b35a7399,no NOR,DF,Genoa,it Serie A,21,1999,13,0,0.54,0.08,14.3,0.54,0.08,0,0,18.3,0,0,0,0.02,0.02,0.03,-0.02,-0.02,Matches
2514,Łukasz Skorupski\ab4449d6,pl POL,GK,Bologna,it Serie A,30,1991,36,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2515,Andreas Skov Olsen\c50cee19,dk DEN,DFFW,Bologna,it Serie A,21,1999,8.3,0,0.84,0.24,28.6,0.84,0.24,0,0,13.7,0,0,0,0.11,0.11,0.13,-0.11,-0.11,Matches
2516,Robert Skov\ff98492b,dk DEN,DFFW,Hoffenheim,de Bundesliga,25,1996,4.1,0,2.93,0.49,16.7,2.93,0.49,0,0,17.8,0.24,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
2517,Milan Škriniar\30f5ffa9,sk SVK,DF,Inter,it Serie A,26,1995,35,0.09,0.74,0.23,30.8,0.74,0.23,0.12,0.38,10.4,0,0,0,0.07,0.07,0.1,0.01,0.01,Matches
2518,Islam Slimani\ffec9769,dz ALG,FW,Lyon,fr Ligue 1,33,1988,6.4,0.16,1.88,0.63,33.3,1.88,0.63,0.08,0.25,10.3,0,0,0,0.28,0.28,0.15,-0.13,-0.13,Matches
2519,William Smallbone\5e105217,ie IRL,MFFW,Southampton,eng Premier League,21,2000,1.5,0,0.67,0,0,0.68,0,0,,17.5,0,0,0,0.07,0.07,0.08,-0.07,-0.07,Matches
2520,Chris Smalling\b6964eb6,eng ENG,DF,Roma,it Serie A,31,1989,23.2,0.13,0.47,0.13,27.3,0.47,0.13,0.27,1,7.2,0,0,0,0.07,0.07,0.16,0.06,0.06,Matches
2521,Emile Smith Rowe\17695062,eng ENG,MFFW,Arsenal,eng Premier League,21,2000,21.3,0.47,1.88,1.08,57.5,1.87,1.08,0.25,0.43,15.5,0,0,0,0.27,0.27,0.14,0.2,0.2,Matches
2522,Cédric Soares\839c14e1,pt POR,DF,Arsenal,eng Premier League,29,1991,16.5,0.06,0.73,0.06,8.3,0.73,0.06,0.08,1,21.7,0.12,0,0,0.03,0.03,0.04,0.03,0.03,Matches
2523,Danilo Soares\c05f2f8c,br BRA,DF,Bochum,de Bundesliga,29,1991,28.5,0,0.46,0.04,7.7,0.46,0.04,0,0,25.2,0.07,0,0,0.02,0.02,0.04,-0.02,-0.02,Matches
2524,Rubén Sobrino\19b776e9,es ESP,MF,Valencia,es La Liga,29,1992,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2525,Rubén Sobrino\19b776e9,es ESP,FWMF,Cádiz,es La Liga,29,1992,20.7,0.19,1.64,0.48,29.4,1.64,0.48,0.12,0.4,12,0,0,0,0.3,0.3,0.19,-0.11,-0.11,Matches
2526,Alex Sola\5fa714d5,es ESP,DFFW,Real Sociedad,es La Liga,22,1999,0.5,0,2,0,0,2.2,0,0,,19.2,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
2527,Augusto Solari\3ca6106c,ar ARG,MFDF,Celta Vigo,es La Liga,29,1992,7.9,0,0.89,0.13,14.3,0.88,0.13,0,0,25.1,0,0,0,0.05,0.05,0.06,-0.05,-0.05,Matches
2528,Roberto Soldado\9d66fbe3,es ESP,FW,Levante,es La Liga,36,1985,7.4,0.41,2.3,1.08,47.1,2.3,1.08,0.18,0.38,11.8,0,0,0,0.47,0.47,0.21,-0.07,-0.07,Matches
2529,Carlos Soler\fed17f5a,es ESP,MF,Valencia,es La Liga,24,1997,27.5,0.4,1.2,0.51,42.4,1.2,0.51,0.12,0.29,24.1,0.22,0.25,0.25,0.29,0.1,0.09,0.11,0.04,Matches
2530,Yann Sommer\420c18a1,ch SUI,GK,M'Gladbach,de Bundesliga,32,1988,33,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2531,Son\037dbd30,es ESP,DF,Levante,es La Liga,27,1994,21.9,0.05,0.64,0.32,50,0.64,0.32,0.07,0.14,19.3,0,0,0,0.05,0.05,0.08,-0.01,-0.01,Matches
2532,Brandon Soppy\28f66c2e,fr FRA,DFMF,Udinese,it Serie A,19,2002,8.6,0,0.7,0.23,33.3,0.69,0.23,0,0,12.5,0,0,0,0.05,0.05,0.07,-0.05,-0.05,Matches
2533,David Soria\8f8c6934,es ESP,GK,Getafe,es La Liga,28,1993,37.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2534,Roberto Soriano\9d4c45d6,it ITA,MFFW,Bologna,it Serie A,30,1991,29.1,0,0.86,0.27,32,0.86,0.27,0,0,17.8,0,0,0,0.07,0.07,0.07,-0.07,-0.07,Matches
2535,Alberto Soro\452c3055,es ESP,MFFW,Granada,es La Liga,22,1999,6.4,0,1.09,0.63,57.1,1.09,0.62,0,0,11.8,0,0,0,0.09,0.09,0.09,-0.09,-0.09,Matches
2536,Borna Sosa\af0d79a9,hr CRO,DF,Stuttgart,de Bundesliga,23,1998,27.8,0.04,0.9,0.22,24,0.9,0.22,0.04,0.17,22,0.07,0,0,0.03,0.03,0.03,0,0,Matches
2537,Hugo Sotelo\3aa74860,es ESP,MF,Celta Vigo,es La Liga,17,2003,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2538,Florian Sotoca\7a42d0df,fr FRA,FWMF,Lens,fr Ligue 1,30,1990,27.6,0.22,2.46,0.83,33.8,2.47,0.83,0.06,0.17,14.7,0,0.07,0.07,0.31,0.26,0.1,-0.09,-0.11,Matches
2539,Riccardo Sottil\94816803,it ITA,FW,Fiorentina,it Serie A,22,1999,13.8,0.22,1.59,0.72,45.5,1.6,0.73,0.14,0.3,16.7,0.07,0,0,0.18,0.18,0.12,0.04,0.04,Matches
2540,Tomáš Souček\6613c819,cz CZE,MF,West Ham,eng Premier League,26,1995,34,0.15,1.32,0.32,24.4,1.32,0.32,0.11,0.45,11.9,0,0,0,0.14,0.13,0.1,0.01,0.02,Matches
2541,Matìas Soulé\c13ddd3e,ar ARG,FW,Juventus,it Serie A,18,2003,0.1,0,20,0,0,36,0,0,,27.2,10,0,0,1,1,0.07,-1,-1,Matches
2542,Sambou Soumano\7cc00776,sn SEN,FW,Lorient,fr Ligue 1,20,2001,5,0.6,3.6,0.8,22.2,3.62,0.81,0.17,0.75,10.6,0,0,0,0.68,0.68,0.19,-0.08,-0.08,Matches
2543,Adama Soumaoro\7b075c75,fr FRA,DF,Bologna,it Serie A,29,1992,25.2,0,0.28,0.04,14.3,0.28,0.04,0,0,7.8,0,0,0,0.04,0.04,0.12,-0.04,-0.04,Matches
2544,Boubakary Soumaré\ae59b359,fr FRA,MF,Leicester City,eng Premier League,22,1999,12.2,0,0.49,0.16,33.3,0.49,0.16,0,0,17.4,0,0,0,0.03,0.03,0.07,-0.03,-0.03,Matches
2545,Arnaud Souquet\4e0afc5d,fr FRA,DF,Montpellier,fr Ligue 1,29,1992,25.9,0.04,0.69,0.15,22.2,0.69,0.15,0.06,0.25,24.2,0,0,0,0.02,0.02,0.03,0.02,0.02,Matches
2546,Djibril Sow\4c6facae,ch SUI,MF,Eint Frankfurt,de Bundesliga,24,1997,26.8,0.07,0.6,0.11,18.8,0.6,0.11,0.13,0.67,23.8,0,0,0,0.02,0.02,0.04,0.05,0.05,Matches
2547,Saidou Sow\f6b94e8d,gn GUI,DF,Saint-Étienne,fr Ligue 1,19,2002,11,0.18,0.27,0.18,66.7,0.27,0.18,0.67,1,5.5,0,0,0,0.04,0.04,0.12,0.15,0.15,Matches
2548,Çağlar Söyüncü\21166ff4,tr TUR,DF,Leicester City,eng Premier League,25,1996,27.7,0.04,0.29,0.04,12.5,0.29,0.04,0.13,1,12,0,0,0,0.05,0.05,0.17,-0.01,-0.01,Matches
2549,Leonardo Spinazzola\3626daea,it ITA,DF,Roma,it Serie A,28,1993,1.4,0,1.43,0,0,1.42,0,0,,23.6,0,0,0,0.07,0.07,0.03,-0.07,-0.07,Matches
2550,Marco Sportiello\ac4003af,it ITA,GK,Atalanta,it Serie A,29,1992,5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2551,Tony Springett\35be8087,eng ENG,FWMF,Norwich City,eng Premier League,18,2002,1.6,0,0.63,0.63,100,0.64,0.64,0,0,13,0,0,0,0.19,0.19,0.27,-0.19,-0.19,Matches
2552,Jerry St. Juste\90339309,nl NED,DF,Mainz 05,de Bundesliga,24,1996,6.7,0.15,1.79,0.45,25,1.79,0.45,0.08,0.33,16.9,0.15,0,0,0.13,0.13,0.08,0.01,0.01,Matches
2553,Anton Stach\0f59a7bf,de GER,MF,Mainz 05,de Bundesliga,22,1998,20.7,0.05,2.37,0.58,24.5,2.37,0.58,0.02,0.08,24.8,0.39,0,0,0.08,0.08,0.03,-0.03,-0.03,Matches
2554,Kostas Stafylidis\861e0116,gr GRE,DFMF,Bochum,de Bundesliga,27,1993,15.4,0,1.04,0.32,31.3,1.04,0.32,0,0,28.4,0.19,0,0,0.03,0.03,0.03,-0.03,-0.03,Matches
2555,Luca Stanga\2967bcd0,it ITA,DF,Milan,it Serie A,19,2002,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2556,Josip Stanišić\7ed08d5c,hr CRO,DF,Bayern Munich,de Bundesliga,21,2000,7.2,0.14,0.56,0.42,75,0.56,0.42,0.25,0.33,11,0,0,0,0.04,0.04,0.08,0.1,0.1,Matches
2557,Niklas Stark\aad48be9,de GER,DFMF,Hertha BSC,de Bundesliga,26,1995,22.6,0.04,0.53,0.18,33.3,0.53,0.18,0.08,0.25,13.8,0,0,0,0.04,0.04,0.06,0.01,0.01,Matches
2558,Jason Steele\28300a16,eng ENG,GK,Brighton,eng Premier League,30,1990,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2559,Jed Steer\a8a3d139,eng ENG,GK,Aston Villa,eng Premier League,28,1992,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2560,Renato Steffen\dd669209,ch SUI,FWMF,Wolfsburg,de Bundesliga,29,1991,10.7,0,1.21,0.19,15.4,1.21,0.19,0,0,14.3,0,0,0,0.12,0.12,0.1,-0.12,-0.12,Matches
2561,Zack Steffen\42130443,us USA,GK,Manchester City,eng Premier League,26,1995,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2562,Calvin Stengs\8f7e6783,nl NED,MF,Nice,fr Ligue 1,22,1998,11.9,0.08,1.76,0.5,28.6,1.76,0.5,0.05,0.17,17.3,0,0,0,0.25,0.25,0.14,-0.17,-0.17,Matches
2563,Pascal Stenzel\99f7e9aa,de GER,DF,Stuttgart,de Bundesliga,25,1996,10,0,0.7,0.3,42.9,0.7,0.3,0,0,24.9,0.1,0,0,0.03,0.03,0.04,-0.03,-0.03,Matches
2564,Dale Stephens\653ee42d,eng ENG,MF,Burnley,eng Premier League,32,1989,1.4,0,0.71,0,0,0.73,0,0,,21,0,0,0,0,0,0.03,0,0,Matches
2565,Jack Stephens\6adbc307,eng ENG,DF,Southampton,eng Premier League,27,1994,9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2566,Raheem Sterling\b400bde0,eng ENG,FW,Manchester City,eng Premier League,26,1994,23.6,0.55,2.29,1.06,46.3,2.28,1.06,0.2,0.44,13.8,0,0.08,0.13,0.61,0.51,0.22,-0.06,-0.04,Matches
2567,Finley Stevens\7e003182,wls WAL,DF,Brentford,eng Premier League,18,2003,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2568,Angelo Stiller\3b1ed320,de GER,MF,Hoffenheim,de Bundesliga,20,2001,18.8,0.11,0.8,0.21,26.7,0.8,0.21,0.13,0.5,17.2,0,0,0,0.05,0.05,0.07,0.05,0.05,Matches
2569,Lars Stindl\7cd6badb,de GER,MFFW,M'Gladbach,de Bundesliga,32,1988,18.1,0.22,2.32,0.77,33.3,2.32,0.77,0.1,0.29,18,0.11,0,0.11,0.35,0.27,0.12,-0.13,-0.05,Matches
2570,Riccardo Stivanello\90e1d9dc,it ITA,DF,Bologna,it Serie A,17,2004,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
2571,Kevin Stöger\e5649a78,at AUT,MFFW,Mainz 05,de Bundesliga,27,1993,4.7,0.21,3.4,1.28,37.5,3.44,1.29,0.06,0.17,20.4,0.64,0,0,0.34,0.34,0.1,-0.13,-0.13,Matches
2572,Petar Stojanović\13b44b02,si SVN,DF,Empoli,it Serie A,25,1995,30.4,0.03,0.39,0.1,25,0.39,0.1,0.08,0.33,19.9,0,0,0,0.03,0.03,0.08,0,0,Matches
2573,John Stones\5eecec3d,eng ENG,DF,Manchester City,eng Premier League,27,1994,12.4,0.08,0.73,0.4,55.6,0.72,0.4,0.11,0.2,12.8,0,0,0,0.08,0.08,0.12,0,0,Matches
2574,Thomas Strakosha\339fe0e8,al ALB,GK,Lazio,it Serie A,26,1995,23,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
