,,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
14,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,51,2.25,34,0,1,4,11,1,4,0.18,3,0,0,0,0,1,Matches
15,Tyler Adams\2b09d998,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15,25,1.67,23,0,1,1,0,0,4,0.27,4,0,0,0,0,0,Matches
16,Sargis Adamyan\22919e97,am ARM,FWMF,Hoffenheim,de Bundesliga,28,1993,3.7,11,2.99,8,0,2,0,0,1,1,0.27,1,0,0,0,0,0,Matches
17,Martin Adeline\7587446d,fr FRA,MFFW,Reims,fr Ligue 1,17,2003,3.9,8,2.05,7,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
18,Amine Adli\dcfb17f4,fr FRA,FWMF,Leverkusen,de Bundesliga,21,2000,14,47,3.37,31,1,3,4,4,4,7,0.5,5,0,0,1,1,0,Matches
19,Yacine Adli\26777636,fr FRA,MFFW,Bordeaux,fr Ligue 1,21,2000,25.1,103,4.1,67,20,4,3,6,3,13,0.52,10,2,0,0,1,0,Matches
20,Michel Aebischer\f9c927de,ch SUI,MF,Bologna,it Serie A,24,1997,4.9,9,1.83,7,1,0,0,0,1,0,0,0,0,0,0,0,0,Matches
21,Felix Afena-Gyan\0154d290,gh GHA,FWMF,Roma,it Serie A,18,2003,7.4,24,3.23,16,0,1,2,4,1,3,0.4,2,0,1,0,0,0,Matches
22,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,25,1996,18,26,1.45,20,2,1,0,3,0,2,0.11,1,0,1,0,0,0,Matches
23,Julen Agirrezabala\a2c1a8d3,es ESP,GK,Athletic Club,es La Liga,20,2000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
24,Lucien Agoume\8bc8829a,fr FRA,MF,Brest,fr Ligue 1,19,2002,20.8,31,1.49,24,1,0,4,2,0,1,0.05,1,0,0,0,0,0,Matches
25,Kevin Agudelo\46fa7204,co COL,MFFW,Spezia,it Serie A,22,1998,13.7,38,2.76,19,0,7,2,3,7,3,0.22,1,0,0,0,0,2,Matches
26,Nayef Aguerd\288e1e13,ma MAR,DF,Rennes,fr Ligue 1,25,1996,30.4,12,0.39,10,0,0,1,1,0,4,0.13,3,0,0,0,1,0,Matches
27,Sergio Agüero\4d034881,ar ARG,FW,Barcelona,es La Liga,33,1988,1.7,3,1.79,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
28,Ruben Aguilar\3dd738a1,fr FRA,DF,Monaco,fr Ligue 1,28,1993,23.8,26,1.09,21,1,1,0,2,1,3,0.13,3,0,0,0,0,0,Matches
29,Álvaro Aguirre\93b054dc,es ESP,FW,Rayo Vallecano,es La Liga,21,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
30,Naouirou Ahamada\a6c58494,fr FRA,MF,Stuttgart,de Bundesliga,19,2002,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
31,Anel Ahmedhodzic\eab957a3,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15,20,1.33,18,0,0,1,0,1,1,0.07,1,0,0,0,0,0,Matches
32,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Strasbourg,fr Ligue 1,27,1994,11.2,22,1.97,20,0,1,1,0,0,3,0.27,3,0,0,0,0,0,Matches
33,Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,es La Liga,25,1995,29.3,13,0.44,12,0,0,1,0,0,2,0.07,2,0,0,0,0,0,Matches
34,Ola Aina\246d153b,ng NGA,DF,Torino,it Serie A,24,1996,16,35,2.19,30,2,2,0,1,0,0,0,0,0,0,0,0,0,Matches
35,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,eng Premier League,20,2001,20.3,44,2.17,26,10,4,0,2,2,6,0.3,4,1,0,0,1,0,Matches
36,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,eng Premier League,23,1998,22.2,28,1.26,20,4,1,1,1,1,6,0.27,3,1,1,0,1,0,Matches
37,Ludovic Ajorque\462475ed,re REU,FW,Strasbourg,fr Ligue 1,27,1994,30.4,75,2.47,55,0,2,7,9,2,9,0.3,6,0,0,2,1,0,Matches
38,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,de Bundesliga,26,1995,25.1,11,0.44,8,1,1,1,0,0,0,0,0,0,0,0,0,0,Matches
39,Carlos Akapo\f2a68b97,gq EQG,DF,Cádiz,es La Liga,28,1993,20.5,24,1.17,16,1,2,1,3,1,1,0.05,1,0,0,0,0,0,Matches
40,Marley Aké\414e1f69,fr FRA,MFFW,Juventus,it Serie A,20,2001,0.9,1,1.17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
41,Nathan Aké\eaeca114,nl NED,DF,Manchester City,eng Premier League,26,1995,10.3,3,0.29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
42,Ilias Akhomach\b8bd60fe,es ESP,FW,Barcelona,es La Liga,17,2004,1.4,7,5.08,4,0,1,0,2,0,0,0,0,0,0,0,0,0,Matches
43,Maghnes Akliouche\b625b241,fr FRA,MFFW,Monaco,fr Ligue 1,19,2002,0.6,1,1.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
44,Paul Akouokou\31f5b89b,ci CIV,MF,Betis,es La Liga,23,1997,5.7,6,1.05,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
45,Jean-Daniel Akpa-Akpro\fdf4b948,ci CIV,MF,Lazio,it Serie A,28,1992,3.5,2,0.57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
46,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,de Bundesliga,26,1995,17,27,1.59,18,1,3,3,1,1,4,0.24,2,0,0,1,0,1,Matches
47,David Alaba\05439de2,at AUT,DF,Real Madrid,es La Liga,29,1992,29.4,46,1.57,37,2,1,4,0,2,8,0.27,7,0,0,1,0,0,Matches
48,Sofiane Alakouch\5314e067,ma MAR,DFMF,Metz,fr Ligue 1,23,1998,1.8,1,0.57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
49,Tomás Alarcón\99ea2ddd,cl CHI,MF,Cádiz,es La Liga,22,1999,15.8,26,1.64,13,11,1,0,0,1,3,0.19,1,2,0,0,0,0,Matches
50,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,de Bundesliga,28,1992,7.3,25,3.44,16,0,5,1,3,0,4,0.55,3,0,1,0,0,0,Matches
51,Jordi Alba\4601e194,es ESP,DF,Barcelona,es La Liga,32,1989,29.4,84,2.86,78,2,1,2,1,0,13,0.44,12,0,0,1,0,0,Matches
52,Josué Albert\3d738df0,gf GUF,DF,Clermont Foot,fr Ligue 1,29,1992,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
53,Luis Alberto\5294a83f,es ESP,MF,Lazio,it Serie A,28,1992,26.1,112,4.28,76,26,2,3,4,1,16,0.61,7,6,1,2,0,0,Matches
54,Raúl Albiol\4bd414c1,es ESP,DF,Villarreal,es La Liga,35,1985,27.4,9,0.33,7,0,0,2,0,0,2,0.07,1,0,0,1,0,0,Matches
55,Marc Albrighton\b827d5b3,eng ENG,FWDF,Leicester City,eng Premier League,31,1989,12.6,19,1.51,14,3,0,0,2,0,2,0.16,2,0,0,0,0,0,Matches
56,Paco Alcácer\a7a9d95a,es ESP,FW,Villarreal,es La Liga,27,1993,8.7,13,1.49,11,0,1,1,0,0,6,0.69,5,0,1,0,0,0,Matches
57,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,eng Premier League,30,1991,17,61,3.58,52,0,1,5,0,3,6,0.35,6,0,0,0,0,0,Matches
58,Rubén Alcaraz\036bba5f,es ESP,MF,Cádiz,es La Liga,30,1991,12.3,30,2.44,21,4,1,1,3,0,0,0,0,0,0,0,0,0,Matches
59,Omar Alderete\bb08bce9,py PAR,DF,Valencia,es La Liga,24,1996,26.7,11,0.41,10,0,1,0,0,0,2,0.07,2,0,0,0,0,0,Matches
60,Iván Alejo\3d7e48ce,es ESP,MFFW,Cádiz,es La Liga,26,1995,11.8,37,3.13,30,2,3,1,0,1,5,0.42,4,0,1,0,0,0,Matches
61,Doğan Alemdar\9e17ccff,tr TUR,GK,Rennes,fr Ligue 1,18,2002,12,1,0.08,1,0,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches
62,Carles Aleñá\6c811eb7,es ESP,MF,Getafe,es La Liga,23,1998,25.8,52,2.02,42,1,2,3,4,0,4,0.16,4,0,0,0,0,0,Matches
63,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,eng Premier League,22,1998,31.7,150,4.73,87,52,5,5,1,0,17,0.54,11,5,0,1,0,0,Matches
64,Mircea Alexandru Tirlea\683a1d81,ro ROU,DF,Alavés,es La Liga,21,2000,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
65,Mohamed Ali Cho\f8405304,fr FRA,FW,Angers,fr Ligue 1,17,2004,20.4,39,1.91,22,0,5,2,7,3,7,0.34,4,0,0,2,1,0,Matches
66,Alisson\7a2e46a8,br BRA,GK,Liverpool,eng Premier League,28,1992,36,3,0.08,3,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
67,Allan\cc700722,br BRA,MF,Everton,eng Premier League,30,1991,24.3,32,1.32,31,0,0,0,1,0,6,0.25,5,0,0,0,1,0,Matches
68,Jim Allevinah\1956b948,ga GAB,FW,Clermont Foot,fr Ligue 1,26,1995,16.5,45,2.72,27,3,8,3,2,2,3,0.18,2,0,0,1,0,0,Matches
69,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,eng Premier League,25,1996,7.3,8,1.1,5,0,0,0,3,0,1,0.14,0,0,0,0,1,0,Matches
70,Dele Alli\cea4ee8f,eng ENG,MF,Everton,eng Premier League,25,1996,3.8,10,2.66,9,1,0,0,0,0,1,0.27,1,0,0,0,0,0,Matches
71,Miguel Almirón\862a1c15,py PAR,MFFW,Newcastle Utd,eng Premier League,27,1994,19.1,45,2.36,31,0,3,8,2,1,5,0.26,4,0,1,0,0,0,Matches
72,Marcos Alonso\f4290206,es ESP,DF,Chelsea,eng Premier League,30,1990,24.1,89,3.7,61,15,4,5,2,2,9,0.37,7,1,0,1,0,0,Matches
73,Giorgio Altare\aa5322d5,it ITA,DF,Cagliari,it Serie A,22,1998,16.3,25,1.53,16,2,0,5,0,2,0,0,0,0,0,0,0,0,Matches
74,Hugo Álvarez\6f392eb8,es ESP,FW,Celta Vigo,es La Liga,36,1985,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
75,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,es La Liga,26,1995,20.7,11,0.53,9,0,0,1,0,1,1,0.05,1,0,0,0,0,0,Matches
76,Dani Alves\c9e99e49,br BRA,DF,Barcelona,es La Liga,38,1983,12.2,31,2.54,23,8,0,0,0,0,4,0.33,4,0,0,0,0,0,Matches
77,Steven Alzate\ad1f61f3,co COL,MF,Brighton,eng Premier League,22,1998,4.5,7,1.56,7,0,0,0,0,0,1,0.22,1,0,0,0,0,0,Matches
78,Ibrahim Amadou\9260926b,fr FRA,DFMF,Metz,fr Ligue 1,28,1993,9,5,0.55,4,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
